id;X.id;addr.city;addr.city.ca;addr.city.en;addr.city.es;addr.floor;addr.housenumber;addr.postcode;addr.street;addr.street.ca;addr.street.es;addr.unit;alt_name;alt_name.ca;alt_name.en;alt_name.es;amenity;atm;atm.network;atm.operator;branch;brand;brand..2021;brand.ca;brand.en;brand.es;brand.website;brand.wikidata;brand.wikidata..2021;brand.wikipedia;brand.wikipedia..2021;building;building.floor;building.levels.underground;check_date;check_date.opening_hours;contact.email;contact.phone;contact.website;drive_through;level;name;name..2021;name.1926.2010;name.1991.2010;name.2010.2018;name.2011.2016;name.ca;name.en;name.es;network;nohousenumber;note;official_name;old_name;opening_hours;operator;operator..2021;operator.wikidata;operator.wikidata..2021;operator.wikipedia;operator.wikipedia..2021;phone;ref;short_name;source;website;wheelchair;wikidata;wikipedia;longitud;latitud
way/416210389;way/416210389;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;bank;NA;NA;NA;NA;Caixabank;NA;NA;NA;NA;NA;Q847225;NA;NA;NA;yes;NA;5;NA;NA;NA;NA;NA;NA;NA;Caixabank;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;La Caixa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,375512793;39,47012067
way/492626775;way/492626775;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;bank;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;yes;NA;NA;NA;NA;NA;NA;NA;NA;NA;Edifici Banc de València;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Q8772089;es:Edificio del Banco de Valencia;-0,373487883;39,47052973
node/106914680;node/106914680;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;bank;NA;Telebanco 4B;Banco Santander;NA;Banco Santander;NA;NA;Santander Bank;Banco Santander;NA;Q6496310;NA;es:Banco Santander;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Banco Santander;NA;NA;NA;NA;NA;Banc Santander;Santander Bank;Banco Santander;Telebanco 4B;NA;NA;Santander Group;NA;NA;Banco Santander;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,3743822;39,4530108
node/106914688;node/106914688;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;bank;NA;NA;NA;NA;Caixabank;NA;NA;NA;NA;https://caixabank.es;Q847225;NA;es:CaixaBank;NA;NA;NA;NA;NA;NA;NA;NA;https://www.caixabank.es;NA;NA;Caixabank;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,374966;39,4530454
node/365242577;node/365242577;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;bank;yes;NA;NA;NA;Caixabank;Bankia;NA;NA;NA;https://caixabank.es;Q847225;Q806807;es:CaixaBank;es:Bankia;NA;NA;NA;18/12/2024;NA;NA;NA;https://www.caixabank.es;NA;NA;Caixabank;Bankia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Caixabank;Bankia;Q847225;Q806807;es:CaixaBank;es:Bankia;NA;NA;NA;NA;NA;NA;NA;NA;-0,3857276;39,4708155
node/431064243;node/431064243;NA;NA;NA;NA;NA;NA;46001;NA;NA;NA;NA;NA;NA;NA;NA;bank;yes;Telebanco 4B;Banco Santander;NA;Banco Santander;NA;NA;Santander Bank;Banco Santander;NA;Q6496310;NA;es:Banco Santander;NA;NA;NA;NA;22/10/2025;NA;NA;NA;NA;NA;NA;Banco Santander;NA;NA;NA;NA;NA;Banc Santander;Santander Bank;Banco Santander;NA;NA;NA;Santander Group;NA;"Mo-Th 09:00-14:00,16:00-18:30; Fr 09:00-14:00; Sa-Su off";Banco Santander;NA;NA;NA;NA;NA;NA;NA;NA;survey;NA;NA;NA;NA;-0,3799646;39,4728924
node/530289977;node/530289977;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;bank;yes;NA;NA;NA;Unicaja Banco;NA;NA;NA;NA;NA;Q2891018;NA;es:Unicaja_Banco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Unicaja Banco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,3969893;39,485648
node/530289978;node/530289978;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;bank;yes;NA;NA;NA;Caixabank;Bankia;NA;NA;NA;https://caixabank.es;Q847225;Q806807;es:CaixaBank;es:Bankia;NA;NA;NA;NA;NA;NA;NA;https://www.caixabank.es;NA;NA;Caixabank;Bankia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Caixabank;Bankia;Q847225;Q806807;es:CaixaBank;es:Bankia;NA;NA;NA;NA;NA;NA;NA;NA;-0,3975932;39,4854018
node/850179220;node/850179220;NA;NA;NA;NA;NA;NA;NA;Carrer de Cotanda;NA;NA;NA;NA;NA;NA;NA;bank;yes;NA;NA;NA;Banco Sabadell;NA;Banc Sabadell;NA;Banco Sabadell;NA;Q762330;NA;es:Banco Sabadell;NA;NA;NA;NA;27/03/2024;NA;NA;NA;NA;no;NA;Banco Sabadell;NA;NA;NA;NA;NA;Banc Sabadell;NA;Banco Sabadell;NA;NA;NA;Banco de Sabadell, S.A.;Caja Mediterranea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;survey;NA;NA;NA;NA;-0,3773816;39,4712948
node/850179246;node/850179246;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;bank;NA;NA;NA;NA;Caixabank;Bankia;NA;NA;NA;https://caixabank.es;Q847225;Q806807;es:CaixaBank;es:Bankia;NA;NA;NA;NA;NA;NA;NA;https://www.caixabank.es;NA;NA;Caixabank;Bankia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Caixabank;Bankia;Q847225;Q806807;es:CaixaBank;es:Bankia;NA;NA;NA;NA;NA;NA;NA;NA;-0,371654;39,4954047
node/850179248;node/850179248;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Banco Popular;Banc Popular;Popular Bank;Banco Popular;bank;NA;NA;NA;NA;Banco Santander;NA;NA;Santander Bank;Banco Santander;NA;Q6496310;NA;es:Banco Santander;NA;NA;NA;NA;31/03/2024;NA;NA;NA;NA;NA;NA;Banco Santander;NA;NA;NA;NA;NA;Banc Santander;Santander Bank;Banco Santander;NA;NA;NA;Santander Group;Banco Popular Español;NA;NA;NA;NA;NA;NA;NA;NA;NA;BPPR;NA;NA;NA;NA;NA;-0,3754761;39,4705459
node/850179251;node/850179251;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;bank;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Banco Madrid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,3776116;39,4713212
