"id";"X.id";"addr.city";"addr.city.ca";"addr.country";"addr.district";"addr.housename";"addr.housenumber";"addr.postcode";"addr.province";"addr.street";"addr.subdistrict";"addr.unit";"air_conditioning";"alt_name";"amenity";"barrier";"building";"building.colour";"building.levels";"check_date";"contact.email";"contact.phone";"description";"email";"fence_type";"image";"internet_access";"internet_access.fee";"internet_access.ssid";"level";"loc_name";"name";"name.ca";"name.es";"name.etymology.wikidata";"nohousenumber";"note";"official_name";"opening_hours";"operator";"operator.type";"operator.wikidata";"phone";"polling_station";"roof.colour";"source";"toilets";"toilets.access";"type";"website";"wheelchair";"wikidata";"wikipedia";"longitud";"latitud"
"relation/2024883";"relation/2024883";NA;NA;NA;NA;NA;"248";NA;NA;"Avinguda de la Constitució";NA;NA;NA;NA;"library";NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Valenciana";"Biblioteca Valenciana Nicolau Primitiu";NA;"Q8247561";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"multipolygon";NA;NA;"Q8247561";"ca:Biblioteca Valenciana Nicolau Primitiu";-0,369099018929999;39,4992876504783
"relation/15877020";"relation/15877020";"València";NA;NA;NA;NA;"35";"46024";NA;"Carrer de les Fontilles";NA;NA;NA;NA;"library";NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal del Mar";NA;NA;NA;NA;NA;NA;NA;"Ajuntament de València";"government";"Q26251945";"+34963525478 x7421";NA;NA;"http://www.valencia.es";NA;NA;"multipolygon";NA;NA;NA;NA;-0,331194269779917;39,4489789314954
"way/11181009";"way/11181009";"València";NA;NA;NA;NA;"13";"46010";NA;"Carrer de les Arts Gràfiques";NA;NA;"yes";NA;"library";NA;"yes";NA;"4";NA;NA;NA;NA;"biblioteca@uv.es";NA;NA;"yes";"no";"Eduroam";NA;NA;"Biblioteca d'Humanitats Joan Reglà";"Biblioteca d'Humanitats Joan Reglà";"Biblioteca de Humanidades Juan Reglá";"Q11684978";NA;NA;NA;"Mo-Fr 08:15-21:00; Sa-Su 09:00-21:00";"Universitat de València";"public";NA;"+34963864557";"yes";NA;NA;NA;NA;NA;NA;"yes";"Q85817913";NA;-0,361787113188206;39,4768788255019
"way/13077887";"way/13077887";"València";NA;NA;NA;NA;NA;"46015";NA;"Calle dels Xiprers";NA;NA;NA;NA;"library";NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Juan de Timoneda";NA;NA;"Q2331470";"yes";NA;NA;NA;"Ajuntament de València";NA;NA;"+34 96 340 08 96";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,405820103810082;39,4946782113486
"way/15218692";"way/15218692";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"library";NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;"Biblioteca Pública de València. Pilar Faus";"Biblioteca Pública de València. Pilar Faus";"Biblioteca Pública de Valencia. Pilar Faus";NA;NA;NA;NA;"Mo-Fr 09:00-20:30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Q4687025";"ca:Biblioteca Pública de València";-0,38172182003545;39,4703512250876
"way/23396711";"way/23396711";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"library";NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;NA;NA;NA;"Biblioteca de Ciències Socials ""Gregori Maians""";"Biblioteca de Ciències Socials ""Gregori Maians""";"Biblioteca de Ciencias Sociales ""Gregorio Maians""";NA;NA;NA;NA;NA;"Universitat de València";"public";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Q85817908";NA;-0,341533558344579;39,4774458327423
"way/147064472";"way/147064472";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"library";NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Joaquim Martí i Gadea";NA;NA;NA;NA;NA;NA;NA;"Ajuntament de València";NA;NA;NA;NA;NA;"www.bmvalencia.org";NA;NA;NA;NA;NA;NA;NA;-0,360401492160873;39,456258238577
"way/149495204";"way/149495204";NA;NA;NA;NA;NA;NA;NA;NA;"Carrer de Ramon Llull";NA;NA;NA;NA;"library";NA;"yes";NA;NA;NA;NA;"+34 963 86 44 88";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Biblioteca d'Educació María Moliner";NA;NA;"Q465162";NA;NA;NA;"Mo-Fr 08:30-21:00; PH,Sa,Su off";"Universitat de València";NA;NA;NA;NA;NA;NA;"yes";NA;NA;NA;"yes";"Q85817911";NA;-0,346144610446787;39,4791532269426
"way/236139285";"way/236139285";"València";NA;NA;NA;NA;"64";"46035";NA;"Carrer del Campament";NA;NA;NA;NA;"library";"fence";"yes";"#efbb87";"1";NA;NA;NA;NA;"bteodorllorente@valencia.es";"concrete";NA;NA;NA;NA;NA;NA;"Biblioteca Municipal Teodoro Llorente";NA;NA;NA;NA;"Horario aproximado. Puede encontrarse un horario detallado en su página web.";NA;"Mo 08:45-14:45,16:15-19:45; Tu 16:15-19:45; We,Th 08:45-14:45; week 03-15/2,week 20-25/2,week 40-50/2 Fr 08:45-14:45; week 02-16/2,week 19-25/2,week 41-49/2 Fr 16:15-19:45; PH off; Mar 14,Mar 21,Oct 24 off; Feb 08,Apr 05,Jun 07,Nov 08 09:30-13:30";"Ajuntament de València";"government";"Q26251945";"+34 96 364 29 96";NA;"#eb7856";NA;NA;NA;NA;"https://www.valencia.es/-/infociudad-biblioteca-municipal-de-benim%C3%80met-teodor-llorente-val";NA;NA;NA;-0,423858244431941;39,501859740339
"way/460433987";"way/460433987";"València";NA;"ES";"Algirós";NA;"12";"46021";"València";"Carrer de Iecla";"l'Amistat";NA;NA;"Biblioteca de l’Amistat – Tomàs Vicent Tosca";"library";NA;"public";NA;"3";NA;NA;NA;NA;"btomasvicent@valencia.es";NA;NA;NA;NA;NA;NA;NA;"Biblioteca municipal de l'Amistat – Tomás Vicent Tosca";NA;NA;"Q11704554";NA;NA;"Biblioteca municipal de l'Amistat - Tomás Vicent Tosca";"Mo-Fr 08:45-14:45,16:15-19:45";"Ajuntament de València";"government";"Q26251945";"+34962082739";NA;NA;"https://www.valencia.es/ayuntamiento/infociudad_accesible.nsf/vDocumentosWebListado/1497BE55AEFC1726C12572C20023B78A?OpenDocument&bdOrigen=ayuntamiento/cultura.nsf&idapoyo=&nivel=6_2&lang=1";NA;NA;NA;"https://www.valencia.es/-/infociutat-biblioteca-municipal-tomas-vicent-tosca-algiros-/-de-la-amistad-";NA;NA;NA;-0,35092217702194;39,4722636571401
