"id";"X.id";"addr.city";"addr.housenumber";"addr.postcode";"addr.street";"alt_name";"alt_name.ca";"amenity";"branch";"building";"building.levels";"building.levels.underground";"emergency.phone";"emergency_telephone_code";"fax";"level";"name";"name.ca";"name.es";"note";"official_name";"opening_hours";"operator";"operator.short";"operator.wikidata";"operator.wikipedia";"phone";"source";"type";"website";"wheelchair";"longitud";"latitud"
"relation/10277003";"relation/10277003";NA;NA;NA;NA;NA;NA;"police";NA;"yes";"6";"1";NA;NA;NA;NA;"Guàrdia Civil";"Guàrdia Civil";NA;NA;NA;NA;"Guardia Civil";NA;"Q932821";"es:Guardia Civil";NA;"PNOA";"multipolygon";NA;NA;-0,359520884373631;39,4821928722925
"way/153955644";"way/153955644";NA;NA;NA;NA;NA;NA;"police";NA;"yes";NA;NA;NA;NA;NA;NA;"Guardia Civil del Mar";NA;NA;NA;NA;NA;"Guardia Civil";NA;"Q932821";"es:Guardia Civil";NA;NA;NA;NA;NA;-0,324306318302053;39,4256466176103
"way/167171796";"way/167171796";NA;NA;NA;NA;NA;NA;"police";NA;NA;NA;NA;NA;NA;NA;NA;"Policia Local Districte de Patraix";"Policia Local Districte de Patraix";"Policía Local Distrito de Patraix";NA;NA;NA;"Policía Local";NA;"Q1507792";NA;NA;NA;NA;NA;NA;-0,402614218340946;39,4536659711923
"way/176224063";"way/176224063";NA;NA;NA;NA;"Policia Autonòmica Valenciana";"Policia Autonòmica Valenciana";"police";NA;"office";"3";NA;NA;NA;NA;NA;"Policia de la Generalitat";"Policia de la Generalitat";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,373594136447393;39,4811277449013
"way/218916649";"way/218916649";NA;"91";NA;"Calle Emilio Baró";NA;NA;"police";NA;NA;NA;NA;NA;NA;NA;NA;"Policía Local";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,358684801776736;39,4930618293697
"way/249825944";"way/249825944";"València";NA;"46015";"Camino Molí del Sol";NA;NA;"police";NA;"yes";NA;NA;NA;NA;"+34963895060";NA;"Policía Local - Unidad Molí del Sol";NA;NA;"La Unidad Policial Parque de Cabecera comprende todo el Cauce del Río, parte del distrito de Campanar y las Pedanías de Benimamet y Beniferri.";NA;NA;"Policía Local";NA;"Q1507792";NA;"+34963525478";NA;NA;NA;NA;-0,40959430140843;39,4813817988922
"way/297519441";"way/297519441";NA;NA;NA;NA;NA;NA;"police";NA;NA;NA;NA;NA;NA;NA;NA;"Comandància de la Guàrdia Civil";"Comandància de la Guàrdia Civil";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,388571203310074;39,4627047484916
"way/367454160";"way/367454160";NA;NA;NA;NA;NA;NA;"police";NA;"industrial";"3";NA;NA;NA;NA;NA;"Policia Local Valencia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,328677137473712;39,4632980879474
"way/385627480";"way/385627480";"València";"7";"46009";"Plaça de Roncesvalls";NA;NA;"police";NA;"yes";NA;NA;NA;NA;NA;NA;"Comisaría de Distrito Valencia Tránsitos";NA;NA;NA;NA;NA;NA;NA;NA;NA;"+34 963539730";"local knowledge";NA;NA;"yes";-0,378500962477926;39,4875690290274
"way/497229125";"way/497229125";NA;NA;NA;NA;NA;NA;"police";NA;"public";"2";NA;NA;NA;NA;NA;"Policía Nacional";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,378930648358099;39,4641175488597
