"identificador";"nombre_servicio";"tipo_servicio";"latitud";"longitud"
"BA1";"Caixabank";"Banco";39,4701206692682;-0,375512793268755
"BA2";"Banco Santander";"Banco";39,4530108;-0,3743822
"BA3";"Caixabank";"Banco";39,4530454;-0,374966
"BA4";"Caixabank";"Banco";39,4708155;-0,3857276
"BA5";"Banco Santander";"Banco";39,4728924;-0,3799646
"BA6";"Unicaja Banco";"Banco";39,485648;-0,3969893
"BA7";"Caixabank";"Banco";39,4854018;-0,3975932
"BA8";"Banco Sabadell";"Banco";39,4712948;-0,3773816
"BA9";"Caixabank";"Banco";39,4954047;-0,371654
"BA10";"Banco Santander";"Banco";39,4705459;-0,3754761
"BA11";"BBVA";"Banco";39,4951051;-0,3718504
"BA12";"BBVA";"Banco";39,4705239;-0,3782673
"BA13";"BBVA";"Banco";39,4534639;-0,3897417
"BA14";"Ibercaja";"Banco";39,4804942;-0,3944782
"BA15";"Caixabank";"Banco";39,4804283;-0,393595
"BA16";"BBVA";"Banco";39,4787225;-0,3949996
"BA17";"Caixabank";"Banco";39,480656;-0,3949329
"BA18";"Kutxabank";"Banco";39,4801997;-0,3959078
"BA19";"Caixabank";"Banco";39,4627216;-0,3442098
"BA20";"Caixabank";"Banco";39,4628755;-0,3441532
"BA21";"Ibercaja";"Banco";39,4932732;-0,3795986
"BA22";"Caixabank";"Banco";39,4966697;-0,3771337
"BA23";"Banco Santander";"Banco";39,4941485;-0,3833267
"BA24";"Caixabank";"Banco";39,4923229;-0,3827312
"BA25";"Banco Santander";"Banco";39,4928031;-0,3737351
"BA26";"Caixabank";"Banco";39,4921987;-0,3740636
"BA27";"BBVA";"Banco";39,4924636;-0,3735688
"BA28";"Banco Santander";"Banco";39,4901074;-0,3752243
"BA29";"Caixabank";"Banco";39,493738;-0,3813885
"BA30";"Caja Rural";"Banco";39,4931957;-0,378717
"BA31";"Banco Santander";"Banco";39,4944045;-0,377966
"BA32";"Banco Santander";"Banco";39,4619119;-0,3443385
"BA33";"Banco Sabadell";"Banco";39,46332;-0,3451137
"BA34";"Caixabank";"Banco";39,4596882;-0,3505312
"BA35";"Banco Santander";"Banco";39,4642205;-0,3464565
"BA36";"Caixabank";"Banco";39,4593067;-0,3459734
"BA37";"Caixabank";"Banco";39,4604118;-0,3745594
"BA38";"BBVA";"Banco";39,4679214;-0,3792412
"BA39";"Caixabank";"Banco";39,4677001;-0,3783999
"BA40";"Caixabank";"Banco";39,4682103;-0,380385
"BA41";"Abanca";"Banco";39,469064;-0,3763102
"BA42";"Unicaja Banco";"Banco";39,4690548;-0,3765173
"BA43";"Cajamar";"Banco";39,4679484;-0,3768399
"BA44";"Banco Santander";"Banco";39,4716596;-0,3687289
"BA45";"Triodos Bank";"Banco";39,4724345;-0,3678626
"BA46";"Banco Sabadell";"Banco";39,4731963;-0,3478893
"BA47";"BBVA";"Banco";39,4732686;-0,3471236
"BA48";"Kutxabank";"Banco";39,4738349;-0,3456981
"BA49";"Caixabank";"Banco";39,4741959;-0,3469333
"BA50";"Kutxabank";"Banco";39,4732237;-0,3435915
"BA51";"Caixabank";"Banco";39,4661881;-0,3863746
"BA52";"Banco Santander";"Banco";39,4783885;-0,358892
"BA53";"Caixabank";"Banco";39,5017258;-0,4192543
"BA54";"Banco Sabadell";"Banco";39,4711938;-0,3728395
"BA55";"BBVA";"Banco";39,4706982;-0,3740036
"BA56";"Kutxabank";"Banco";39,4710786;-0,3730157
"BA57";"Banco Santander";"Banco";39,4712811;-0,3726566
"BA58";"Caixabank";"Banco";39,4704903;-0,3737029
"BA59";"Unicaja Banco";"Banco";39,4713312;-0,3722068
"BA60";"Caixabank";"Banco";39,470966;-0,3728156
"BA61";"Banco Mediolanum";"Banco";39,4703237;-0,374073
"BA62";"Cajamar";"Banco";39,4711676;-0,3723978
"BA63";"Banco Santander";"Banco";39,4702934;-0,3742823
"BA64";"Caixabank";"Banco";39,4646221;-0,373754
"BA65";"Banco Santander";"Banco";39,4634799;-0,3719903
"BA66";"Caixabank";"Banco";39,4814575;-0,3709894
"BA67";"ING";"Banco";39,4718834;-0,3772565
"BA68";"Caixabank";"Banco";39,4546979;-0,4038858
"BA69";"Cajamar";"Banco";39,4555493;-0,4025425
"BA70";"Caixabank";"Banco";39,4474057;-0,3801118
"BA71";"Banco Sabadell";"Banco";39,4706318;-0,3848742
"BA72";"Caixabank";"Banco";39,4695135;-0,3897585
"BA73";"Banco Santander";"Banco";39,4694328;-0,3902804
"BA74";"Banco Santander";"Banco";39,467205;-0,3804264
"BA75";"Banco Santander";"Banco";39,4670559;-0,3805272
"BA76";"Kutxabank";"Banco";39,4759578;-0,3627967
"BA77";"Ibercaja";"Banco";39,4662422;-0,3531785
"BA78";"Caixabank";"Banco";39,4646421;-0,3476796
"BA79";"Banco Santander";"Banco";39,4610614;-0,3357049
"BA80";"Cajamar";"Banco";39,4613217;-0,3366235
"BA81";"Caixabank";"Banco";39,4605449;-0,3349805
"BA82";"Banco Santander";"Banco";39,4676072;-0,3922183
"BA83";"Banco Santander";"Banco";39,4684596;-0,3739364
"BA84";"Deutsche Bank";"Banco";39,4693254;-0,3739842
"BA85";"Cajamar";"Banco";39,4667324;-0,3893017
"BA86";"BBVA";"Banco";39,4656746;-0,3813215
"BA87";"Ibercaja";"Banco";39,469092;-0,3748239
"BA88";"Banco Santander";"Banco";39,4696892;-0,4028152
"BA89";"Caixabank";"Banco";39,4688645;-0,3771099
"BA90";"Caixabank";"Banco";39,4737108;-0,3779719
"BA91";"Caixabank";"Banco";39,4625689;-0,3307767
"BA92";"Caixabank";"Banco";39,4210042;-0,3401628
"BA93";"Banco Santander";"Banco";39,4921968;-0,4014952
"BA94";"Caixabank";"Banco";39,4877678;-0,3736697
"BA95";"Ibercaja";"Banco";39,4608482;-0,3708447
"BA96";"Kutxabank";"Banco";39,4690851;-0,3845153
"BA97";"Banco Santander";"Banco";39,4713453;-0,3860985
"BA98";"Banco Santander";"Banco";39,4710844;-0,3859227
"BA99";"Caixabank";"Banco";39,4801706;-0,3279541
"BA100";"Banco Santander";"Banco";39,4476894;-0,3868668
"BA101";"BBVA";"Banco";39,4480786;-0,3893999
"BA102";"Caixabank";"Banco";39,4484977;-0,3896856
"BA103";"Banco Sabadell";"Banco";39,4780028;-0,3279421
"BA104";"BBVA";"Banco";39,4924809;-0,4016286
"BA105";"Caixabank";"Banco";39,4816693;-0,3565117
"BA106";"Banco Santander";"Banco";39,4801199;-0,3574249
"BA107";"Caixabank";"Banco";39,4797941;-0,3569761
"BA108";"Cajamar";"Banco";39,48555;-0,3604482
"BA109";"Caixabank";"Banco";39,4859458;-0,359476
"BA110";"BBVA";"Banco";39,4889592;-0,3586963
"BA111";"Banco Santander";"Banco";39,4857383;-0,361679
"BA112";"Caixabank";"Banco";39,4675344;-0,3669162
"BA113";"Banco Santander";"Banco";39,4889025;-0,3604501
"BA114";"BBVA";"Banco";39,4912711;-0,3658462
"BA115";"Caixabank";"Banco";39,4918936;-0,3664772
"BA116";"Caixabank";"Banco";39,459322;-0,3882924
"BA117";"Banco Santander";"Banco";39,4635696;-0,3663027
"BA118";"Banco Sabadell";"Banco";39,4634801;-0,3658705
"BA119";"Banco Santander";"Banco";39,4630157;-0,3864369
"BA120";"Banco Santander";"Banco";39,4686845;-0,3843874
"BA121";"Cajamar";"Banco";39,4666771;-0,3828083
"BA122";"Banco Sabadell";"Banco";39,4711132;-0,3898482
"BA123";"Caixabank";"Banco";39,4738107;-0,3529699
"BA124";"Cajamar";"Banco";39,4913482;-0,3841317
"BA125";"Caixabank";"Banco";39,4927237;-0,3945051
"BA126";"Cajamar";"Banco";39,4929677;-0,3941797
"BA127";"Caixabank";"Banco";39,4698626;-0,3437027
"BA128";"Caixabank";"Banco";39,4597156;-0,3509206
"BA129";"Banco Santander";"Banco";39,4698159;-0,3466083
"BA130";"Caixabank";"Banco";39,4691514;-0,345714
"BA131";"Banco Sabadell";"Banco";39,4684914;-0,3475349
"BA132";"Caixabank";"Banco";39,4647076;-0,3479167
"BA133";"Cajamar";"Banco";39,46741;-0,3507427
"BA134";"Banco Santander";"Banco";39,4822163;-0,3702605
"BA135";"Targobank";"Banco";39,4824948;-0,3702094
"BA136";"BBVA";"Banco";39,4803011;-0,3555466
"BA137";"Banco Sabadell";"Banco";39,4811043;-0,3630122
"BA138";"Banco Sabadell";"Banco";39,4834877;-0,3699827
"BA139";"Caixabank";"Banco";39,4837927;-0,3698088
"BA140";"Banco Sabadell";"Banco";39,4862181;-0,3618108
"BA141";"Banco Sabadell";"Banco";39,4618799;-0,3626054
"BA142";"Caixabank";"Banco";39,4715126;-0,3988037
"BA143";"BBVA";"Banco";39,4718166;-0,3989305
"BA144";"Banco Santander";"Banco";39,4717945;-0,3986874
"BA145";"Banco Pichincha";"Banco";39,4646359;-0,3728073
"BA146";"BBVA";"Banco";39,4522788;-0,3759797
"BA147";"Banco Santander";"Banco";39,4830102;-0,3644098
"BA148";"Caixabank";"Banco";39,4741534;-0,3881199
"BA149";"Unicaja Banco";"Banco";39,4686865;-0,3783493
"BA150";"Cajamar";"Banco";39,4658733;-0,3721212
"BA151";"Ibercaja";"Banco";39,4729281;-0,3795793
"BA152";"Cajamar";"Banco";39,4507713;-0,371892
"BA153";"Bankinter";"Banco";39,4713857;-0,371919
"BA154";"BBVA";"Banco";39,4673892;-0,3395449
"BA155";"Banco Sabadell";"Banco";39,4539286;-0,3752436
"BA156";"Abanca";"Banco";39,4626456;-0,3635956
"BA157";"Globalcaja";"Banco";39,4653941;-0,3718475
"BA158";"Caixa Popular";"Banco";39,4714661;-0,3840361
"BA159";"Kutxabank";"Banco";39,4915678;-0,401028
"BA160";"BBVA";"Banco";39,4620516;-0,3983698
"BA161";"Caixabank";"Banco";39,4804506;-0,3912181
"BA162";"Banco Sabadell";"Banco";39,4788581;-0,3982389
"BA163";"BBVA";"Banco";39,4701746;-0,3576114
"BA164";"Caixa Ontinyent";"Banco";39,4700607;-0,3575463
"BA165";"Banco Santander";"Banco";39,4714364;-0,3549318
"BA166";"Ibercaja";"Banco";39,4749256;-0,3528554
"BA167";"Banco Santander";"Banco";39,4813866;-0,3440874
"BA168";"Caixa d'Enginyers";"Banco";39,4815391;-0,3441475
"BA169";"Caixabank";"Banco";39,4724817;-0,3568608
"BA170";"Caixabank";"Banco";39,4712292;-0,3586354
"BA171";"BBVA";"Banco";39,4678902;-0,3497148
"BA172";"Kutxabank";"Banco";39,4634497;-0,3673234
"BA173";"Ibercaja";"Banco";39,4888592;-0,3601539
"BA174";"BBVA";"Banco";39,45762;-0,3616425
"BA175";"BBVA";"Banco";39,4661764;-0,3291883
"BA176";"Caixa Popular";"Banco";39,4670951;-0,3290348
"BA177";"BBVA";"Banco";39,4656107;-0,3740388
"BA178";"Kutxabank";"Banco";39,4554521;-0,3908045
"BA179";"Cajamar";"Banco";39,4550719;-0,3910596
"BA180";"Caixabank";"Banco";39,4532874;-0,3922336
"BI1";"Biblioteca Valenciana";"Biblioteca";39,4992876504783;-0,369099018929999
"BI2";"Biblioteca Municipal del Mar";"Biblioteca";39,4489789314954;-0,331194269779917
"BI3";"Biblioteca d'Humanitats Joan Reglà";"Biblioteca";39,4768788255019;-0,361787113188206
"BI4";"Biblioteca Municipal Juan de Timoneda";"Biblioteca";39,4946782113486;-0,405820103810082
"BI5";"Biblioteca Pública de València. Pilar Faus";"Biblioteca";39,4703512250876;-0,38172182003545
"BI6";"Biblioteca de Ciències Socials ""Gregori Maians""";"Biblioteca";39,4774458327423;-0,341533558344579
"BI7";"Biblioteca Municipal Joaquim Martí i Gadea";"Biblioteca";39,456258238577;-0,360401492160873
"BI8";"Biblioteca d'Educació María Moliner";"Biblioteca";39,4791532269426;-0,346144610446787
"BI9";"Biblioteca Municipal Teodoro Llorente";"Biblioteca";39,501859740339;-0,423858244431941
"BI10";"Biblioteca municipal de l'Amistat – Tomás Vicent Tosca";"Biblioteca";39,4722636571401;-0,35092217702194
"BI11";"Biblioteca Municipal María Beneyto";"Biblioteca";39,4767294456252;-0,384629825574469
"BI12";"Biblioteca Municipal Lluís Fullana i Mira";"Biblioteca";39,4653017978819;-0,402174345163535
"BI13";"Biblioteca Municipal Carmelita Sánchez-Cutillas";"Biblioteca";39,4942756760962;-0,387243941041426
"BI14";"Biblioteca del Orriols Josep Maria Bayarri";"Biblioteca";39,4969813777683;-0,368514691208033
"BI15";"Biblioteca Municipal Gregori Mayans i Ciscar";"Biblioteca";39,461124;-0,3452861
"BI16";"Biblioteca Municipal Joan Churat i Saurí";"Biblioteca";39,4343112;-0,3929396
"BI17";"Biblioteca Municipal Joanot Martorell";"Biblioteca";39,4863998;-0,3811579
"BI18";"Biblioteca Municipal Carola Reig Salvá";"Biblioteca";39,4881253;-0,3581242
"BI19";"Biblioteca Municipal Grau-Port";"Biblioteca";39,4599213;-0,3395564
"BI20";"Biblioteca Municipal Vicent Tortosa i Biosca";"Biblioteca";39,5000885;-0,3926563
"BI21";"Biblioteca Municipal Vicent Casp i Verger";"Biblioteca";39,4646394;-0,3474621
"BI22";"Biblioteca Municipal Palau de l'Exposició";"Biblioteca";39,4735879;-0,3624784
"BI23";"Biblioteca Municipal de la Petxina";"Biblioteca";39,4752164;-0,394262
"BI24";"Biblioteca Municipal Francesc Almela i Vives";"Biblioteca";39,4802366;-0,4009189
"BI25";"Biblioteca Municipal Constantí Llombart";"Biblioteca";39,4626595;-0,3306416
"BI26";"Biblioteca Municipal Casa de la Reina";"Biblioteca";39,4674645;-0,3289691
"BI27";"Biblioteca Municipal Roiç de Corella";"Biblioteca";39,4487117;-0,3774724
"BI28";"Biblioteca Municipal Nova Al-Russafí";"Biblioteca";39,4609316;-0,3706941
"BI29";"Biblioteca Municipal María Moliner";"Biblioteca";39,4762495;-0,3491314
"BI30";"Biblioteca Municipal Isabel de Villena";"Biblioteca";39,4924326;-0,3821432
"BI31";"Biblioteca Municipal Germana de Foix";"Biblioteca";39,46038;-0,385772
"BI32";"Biblioteca Municipal Clara Santiró i Font";"Biblioteca";39,4472428;-0,392672
"BI33";"Biblioteca Municipal Azorín";"Biblioteca";39,4602344;-0,3930536
"BI34";"Biblioteca Municipal Vicent Boix i Ricarte";"Biblioteca";39,4660039;-0,4092612
"BI35";"Biblioteca Municipal Eduard Escalant";"Biblioteca";39,4679589;-0,3880343
"BI36";"Biblioteca de ADE-Topografía";"Biblioteca";39,4813678;-0,3369311
"BI37";"Ateneu Llibertari Al Margen";"Biblioteca";39,4785814;-0,3792374
"BI38";"Biblioteca Municipal de Trinitat Vivers";"Biblioteca";39,4809812;-0,3692772
"BI39";"Biblioteca de la Dona";"Biblioteca";39,4785022;-0,3760877
"BI40";"Biblioteca General";"Biblioteca";39,4811085;-0,3429392
"BI41";"Bibliomar";"Biblioteca";39,4809887;-0,3242599
"BI42";"Biblioteca d'Informàtica i Documentació Enric Valor";"Biblioteca";39,4831196;-0,3475188
"BI43";"Biblioteca Municipal Carles Ros";"Biblioteca";39,4759828;-0,3754183
"BI44";"Biblioteca de Psicologia i Esport Joan Lluís Vives";"Biblioteca";39,4786519;-0,3594803
"CO1";"CEIP BENIMÀMET";"Colegio";39,5011579990738;-0,411872
"CO2";"CENTRE PRIVAT NUESTRA SEÑORA DEL ROSARIO";"Colegio";39,4282609990742;-0,364987
"CO3";"CENTRE PRIVAT SAGRADO CORAZÓN DE JESÚS -CARMELITAS-";"Colegio";39,4788709990739;-0,374898
"CO4";"CENTRE PRIVAT SAN JOSÉ HH. FRANCISCANAS DE LA INMACULADA";"Colegio";39,462985999074;-0,368760999999999
"CO5";"CENTRE PRIVAT SAGRADO CORAZÓN HH.MARISTAS";"Colegio";39,464984999074;-0,363383
"CO6";"CENTRE PRIVAT NUESTRA SEÑORA DEL SOCORRO";"Colegio";39,465329999074;-0,385627
"CO7";"CENTRE PRIVAT MARÍA INMACULADA";"Colegio";39,4835489990739;-0,387472
"CO8";"CENTRE PRIVAT SAN JUAN BOSCO";"Colegio";39,4828369990739;-0,385723000000001
"CO9";"CENTRE PRIVAT CLARET";"Colegio";39,4840709990739;-0,361851000000001
"CO10";"CENTRE PRIVAT ESCUELAS PÍAS-MALVARROSA";"Colegio";39,4817849990739;-0,329457
"CO11";"CENTRE PRIVAT SANTA ANA";"Colegio";39,467076999074;-0,354694
"CO12";"CENTRE PRIVAT NUESTRA SEÑORA DE LOS DESAMPARADOS";"Colegio";39,4493589990741;-0,333152000000001
"CO13";"CEIP SANTA TERESA";"Colegio";39,4788069990739;-0,381419000000001
"CO14";"CEIP TEODORO LLORENTE";"Colegio";39,470217999074;-0,388947000000001
"CO15";"CEIP FORN D'ALCEDO";"Colegio";39,4323689990742;-0,3736
"CO16";"CEIP LES ARTS";"Colegio";39,4508829990741;-0,366182999999999
"CO17";"CEIP PADRE MANJÓN";"Colegio";39,4341269990742;-0,393519000000001
"CO18";"CEIP SALVADOR TUSET";"Colegio";39,4913409990738;-0,391152
"CO19";"CENTRE PRIV. ED. INF. 1er CICLE SANTA KLAUS";"Colegio";39,4807219990739;-0,364301000000001
"CO20";"CENTRE PRIVAT ARGOS";"Colegio";39,4975249990738;-0,399112999999999
"CO21";"CEIP RAFAEL MATEU CÁMARA";"Colegio";39,4547269990741;-0,379055
"CO22";"IES EL CLOT";"Colegio";39,4893369990738;-0,379299000000001
"CO23";"CENTRE PÚBLIC FPA CENTRO SOCIAL DEL GRAO";"Colegio";39,466124999074;-0,342454000000001
"CO24";"CENTRE PÚBLIC FPA PARC DE L'OEST";"Colegio";39,467020999074;-0,401891000000002
"CO25";"ESCOLA PRIVADA DE MÚSICA CENTRE DE MÚSICA NATZARET";"Colegio";39,4512849990741;-0,333692999999999
"CO26";"CENTRE ELEMENTAL DE DANSA SOCIETAT CORAL EL MICALET";"Colegio";39,471242999074;-0,383974
"CO27";"IES DE TAVERNES BLANQUES";"Colegio";39,5069719990737;-0,368892
"CO28";"CENTRE PRIVAT FP C.ESTUDIOS FINANCIEROS";"Colegio";39,4823529990739;-0,370601
"CO29";"ESCOLA PRIVADA DE MÚSICA CRA./FUENTE SAN LUIS";"Colegio";39,4558789990741;-0,372412
"CO30";"ESCOLA PRIVADA DE MÚSICA AMPARO ITURBI";"Colegio";39,4539979990741;-0,378170000000001
"CO31";"IES EL SALER";"Colegio";39,3817809990745;-0,332347
"CO32";"CENTRE PRIV. ED. INF. 1er CICLE TURIA";"Colegio";39,4769159990739;-0,385487
"CO33";"CENTRE PRIV. ED. INFANTIL LOS DUENDES";"Colegio";39,4800169990739;-0,401478
"CO34";"CENTRE PRIV. ED. INF. 1er CICLE EL EDEN";"Colegio";39,470733999074;-0,345163
"CO35";"CENTRE PRIV. ED. INF. 1er CICLE MARNI II";"Colegio";39,4924589990738;-0,368042
"CO36";"CENTRE PRIV. ED. INF. 1er CICLE SACAPUNTAS S/CORT. NI PUNTAS";"Colegio";39,4578989990741;-0,37183
"CO37";"CENTRE ENS. PROFESSIONALS DE MÚSICA TALLER DE MÚSICA JOVE";"Colegio";39,4851139990739;-0,358117999999999
"CO38";"CENTRE PRIVAT FP TEVIÁN CEP";"Colegio";39,471570999074;-0,389729
"CO39";"ESCOLA PRIVADA DE MÚSICA SOCIETAT MUSICAL BARRI MALILLA";"Colegio";39,4532729990741;-0,380035000000001
"CO40";"EI 1er CICLE MUNICIPAL BENICALAP";"Colegio";39,4932449990738;-0,38642
"CO41";"CENTRE PRIV. ED. INF. 1er CICLE MI PEQUEÑO MUNDO";"Colegio";39,4729079990739;-0,354352
"CO42";"CENTRE PRIVAT FP STUDIO";"Colegio";39,4781589990739;-0,347017000000002
"CO43";"CENTRE PRIV. ED. INF. 1er CICLE SENSATIDOS";"Colegio";39,465221999074;-0,345053
"CO44";"CENTRE PRIVAT JESÚS MARÍA-FUENSANTA";"Colegio";39,464678999074;-0,409772
"CO45";"CEIP JAIME BALMES";"Colegio";39,461129999074;-0,369876999999999
"CO46";"CEIP SECTOR AÉREO";"Colegio";39,467280999074;-0,399907000000001
"CO47";"CEIP DOCTOR OLÓRIZ";"Colegio";39,4844599990739;-0,380454999999999
"CO48";"CEIP TORREFIEL";"Colegio";39,4953769990738;-0,37811
"CO49";"CEIP MIGUEL HERNÁNDEZ";"Colegio";39,4947229990738;-0,366917
"CO50";"CEIP AUSIÀS MARCH";"Colegio";39,4501639990741;-0,332489000000002
"CO51";"IES CID CAMPEADOR";"Colegio";39,465271999074;-0,399488000000001
"CO52";"CENTRE PRIVAT SALESIANOS-SAN JUAN BOSCO";"Colegio";39,4535589990741;-0,370188
"CO53";"CEIP MAGISTERIO ESPAÑOL";"Colegio";39,4551079990741;-0,361709
"CO54";"CEIP VICENTE BLASCO IBÁÑEZ";"Colegio";39,4797069990739;-0,325567
"CO55";"CEIP VIVERS";"Colegio";39,4835739990739;-0,367763000000001
"CO56";"CEE PRIV. AUXILIA";"Colegio";39,4965239990738;-0,372666
"CO57";"CEIP ANTONIO GARCÍA LÓPEZ";"Colegio";39,468285999074;-0,345694000000001
"CO58";"CEIP PROFESOR BARTOLOMÉ COSSIO";"Colegio";39,4925829990738;-0,373278
"CO59";"CENTRE PRIVAT FP ENSEÑANZAS PROFESIONALES SOROLLA";"Colegio";39,4569299990741;-0,376389
"CO60";"CENTRE ENS. PROFESSIONALS DE DANSA VALENCIÀ";"Colegio";39,471727999074;-0,387688
"CO61";"IES EL RAVATXOL";"Colegio";39,4267029990742;-0,361492
"CO62";"CEIP SERRERÍA";"Colegio";39,467770999074;-0,335144000000001
"CO63";"CENTRE PRIV. ED. INF. 1er CICLE DEHESA";"Colegio";39,4426579990742;-0,367374
"CO64";"CENTRE PRIV. ED. INF. 1er CICLE EL COLE";"Colegio";39,472503999074;-0,410905
"CO65";"CENTRE PRIV. ED. INF. 1er CICLE ALADDIN";"Colegio";39,461506999074;-0,343038
"CO66";"CENTRE ESPECÍFIC D'EDUCACIÓ A DISTÀNCIA CEED";"Colegio";39,464550999074;-0,410314
"CO67";"EI 1er CICLE MUNICIPAL";"Colegio";39,4844289990739;-0,327805000000001
"CO68";"CENTRE PRIV. ED. INFANTIL MERAVELLES";"Colegio";39,470091999074;-0,344911
"CO69";"CENTRE PRIV. ED. INF. 1er CICLE ALAMEDA VALÈNCIA";"Colegio";39,462421999074;-0,357217000000001
"CO70";"CENTRE PRIV. ED. INF. 1er CICLE MY HOUSE";"Colegio";39,472002999074;-0,358769999999999
"CO71";"CENTRE PRIV. ED. INFANTIL VIRGEN DE CORTES";"Colegio";39,4567209990741;-0,387043
"CO72";"CEIP JOSÉ SENENT";"Colegio";39,5407119990735;-0,405625
"CO73";"CENTRE PRIVAT GRAN ASOCIACIÓN";"Colegio";39,4797349990739;-0,377980000000001
"CO74";"CENTRE PRIVAT NUESTRA SEÑORA DE LORETO";"Colegio";39,463647999074;-0,362344999999999
"CO75";"CENTRE PRIVAT SANTO TOMÁS DE VILLANUEVA";"Colegio";39,464885999074;-0,382590000000001
"CO76";"CENTRE PRIVAT ESCOLÀPIES VALÈNCIA";"Colegio";39,470934999074;-0,385999
"CO77";"CENTRE PRIVAT MERCERATOR";"Colegio";39,4937919990738;-0,370799
"CO78";"CENTRE PRIVAT NUESTRA SEÑORA DEL PILAR";"Colegio";39,4765189990739;-0,355070999999999
