"identificador";"nombre_servicio";"tipo_servicio";"distrito_asignado";"latitud";"longitud"
"PA1";"Poliesportiu de Burjassot (1044)";"Parada EMT";"POBLATS DE L'OEST";39,5077206246364;-0,416287168845795
"PA2";"Orxata - Mestre Serrano (855)";"Parada EMT";"BENIMACLET";39,495950606274;-0,354132662245902
"PA3";"Cid - Passatge Vidal (484)";"Parada EMT";"L'OLIVERETA";39,4696097039357;-0,403209868774439
"PA4";"Cid - Marconi (495)";"Parada EMT";"L'OLIVERETA";39,4692333285984;-0,413211063642213
"PA5";"Tres Forques - Santa Cruz de Tenerife (512)";"Parada EMT";"PATRAIX";39,4639513262279;-0,39966394654987
"PA6";"Parc Central (606)";"Parada EMT";"L'EIXAMPLE";39,457904636101;-0,376472152361005
"PA7";"Jesús - Sant Francesc de Borja (739)";"Parada EMT";"EXTRAMURS";39,4661373184541;-0,383676029922245
"PA8";"Pérez Galdós - Democràcia (425)";"Parada EMT";"L'OLIVERETA";39,4744629644031;-0,395598369972291
"PA9";"Pare Viñas - Duc de Mandas (199)";"Parada EMT";"RASCANYA";39,4941266883564;-0,370439012588162
"PA10";"Tres Forques - Pérez Galdós (533)";"Parada EMT";"EXTRAMURS";39,4641121338541;-0,389069324704398
"PA11";"Pius XI - Manuel Simó (552)";"Parada EMT";"PATRAIX";39,4597667617119;-0,392194594458359
"PA12";"Plaça d'Espanya (1968)";"Parada EMT";"EXTRAMURS";39,4664499344037;-0,381949951322331
"PA13";"Teatre Principal (2014)";"Parada EMT";"CIUTAT VELLA";39,470560785457;-0,374245370358954
"PA14";"Terrateig - Jorge Comín (2064)";"Parada EMT";"CAMPANAR";39,4810903369371;-0,403549272026472
"PA15";"Sant Vicent Màrtir - Altamira (593)";"Parada EMT";"JESUS";39,4491463893886;-0,385278929091055
"PA16";"Peris i Valero - Pere Aleixandre (600)";"Parada EMT";"L'EIXAMPLE";39,4610678487213;-0,365600072522758
"PA17";"Palmaret - Rosa dels Vents (davant) (1485)";"Parada EMT";"POBLATS DEL NORD";39,5161482979913;-0,381421969454474
"PA18";"Aiora (1499)";"Parada EMT";"CAMINS AL GRAU";39,4680668701548;-0,343027393684531
"PA19";"Port - Eivissa (1622)";"Parada EMT";"CAMINS AL GRAU";39,4618188404096;-0,339188778152408
"PA20";"Petxina - Túria (1425)";"Parada EMT";"CIUTAT VELLA";39,4796071731282;-0,384303047793185
"PA21";"Tirso de Molina - Pius XII (1431)";"Parada EMT";"EXTRAMURS";39,4784221207195;-0,392915335877804
"PA22";"Sant Marcel·lí (1440)";"Parada EMT";"JESUS";39,4472973521571;-0,391191998670856
"PA23";"Carters - Mossén Febrer (979)";"Parada EMT";"JESUS";39,4501712731051;-0,388974236060894
"PA24";"Alcalde Reig (imparell) - Pere Aleixandre (1665)";"Parada EMT";"CAMINS AL GRAU";39,459861611041;-0,358717026820519
"PA25";"Plaça Espanya (815)";"Parada EMT";"EXTRAMURS";39,4659663285462;-0,381215664965132
"PA26";"Facultat de Filologia (167)";"Parada EMT";"EL PLA DEL REAL";39,4768376770266;-0,359204294101472
"PA27";"Guillem de Castro - Comissaria de policia (1766)";"Parada EMT";"EXTRAMURS";39,4709211688875;-0,383567253723249
"PA28";"Hospital Dr. Peset (1931)";"Parada EMT";"JESUS";39,4524489580416;-0,392899843445936
"PA29";"Doctor Álvaro López - Vicent La Roda (1774)";"Parada EMT";"ALGIROS";39,4805669373733;-0,331027190241039
"PA30";"Barraques del Figuero - Ignacio Zuloaga (2047)";"Parada EMT";"POBLATS MARITIMS";39,4496266875532;-0,336285925630373
"PA31";"Terrateig - Poeta Rafael Alberti (2069)";"Parada EMT";"CAMPANAR";39,4809875843425;-0,403855805558597
"PA32";"La Barraca (2158)";"Parada EMT";"QUATRE CARRERES";39,4454843427394;-0,373292124642933
"PA33";"Vicent Baldoví - Pintor Martí Girbés (2173)";"Parada EMT";"POBLATS DEL SUD";39,3140859921203;-0,317539444101161
"PA34";"Carretera del Palmar - Pinars (2175)";"Parada EMT";"POBLATS DEL SUD";39,3414621076415;-0,319556511694826
"PA35";"Dolores Marqués - Reverend José María Pinazo (1232)";"Parada EMT";"BENIMACLET";39,4866716911485;-0,362841261488852
"PA36";"Càmping la Devesa (2176)";"Parada EMT";"POBLATS DEL SUD";39,3229664499203;-0,309423881282425
"PA37";"Fonteta Sant Lluís - Ebenista Caselles (630)";"Parada EMT";"QUATRE CARRERES";39,450000593135;-0,369641003779328
"PA38";"Port - Riu Escalona (1617)";"Parada EMT";"CAMINS AL GRAU";39,4657732343422;-0,352663287585889
"PA39";"Filipines - Puerto Rico (2128)";"Parada EMT";"L'EIXAMPLE";39,460564353689;-0,378220753238309
"PA40";"Jesús (1696)";"Parada EMT";"EXTRAMURS";39,4590785314018;-0,384608990732185
"PA41";"Ferran el Catòlic - S. Ignacio de Loyola (1716)";"Parada EMT";"EXTRAMURS";39,4741126619142;-0,388028760560816
"PA42";"Beat Juan Grande - Vicent la Roda (1742)";"Parada EMT";"ALGIROS";39,4797632291971;-0,329638920332154
"PA43";"Albereda (riu) - Museu de les Ciències (1745)";"Parada EMT";"CAMINS AL GRAU";39,4575703158764;-0,350261128175117
"PA44";"Marí Blas de Lezo(imparell) -Estació Cabanyal (1755)";"Parada EMT";"ALGIROS";39,4709107088611;-0,334661468652149
