gid;Denominació / Denominación;Línies / Líneas;Id. Parada;Id. Boca;Pròximes Arribades / Próximas llegadas;proximes_llegadas;geo_shape;geo_point_2d
176;QUART DE POBLET;3,5,9;117;209;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=117&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=117&lang=va;"{""coordinates"": [-0.4418805544578805, 39.48108673046481], ""type"": ""Point""}";39.48108673046481, -0.4418805544578805
181;MELIANA;3;7;214;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=7&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=7&lang=va;"{""coordinates"": [-0.3518194555474534, 39.528030394143414], ""type"": ""Point""}";39.528030394143414, -0.3518194555474534
183;ALBALAT DELS SORELLS;3;5;216;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=5&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=5&lang=va;"{""coordinates"": [-0.3482888933598654, 39.545265196813375], ""type"": ""Point""}";39.545265196813375, -0.3482888933598654
184;MUSEROS;3;4;217;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=4&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=4&lang=va;"{""coordinates"": [-0.34085556813197027, 39.56157684199353], ""type"": ""Point""}";39.56157684199353, -0.34085556813197027
187;RAFELBUNYOL;3;1;220;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=1&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=1&lang=va;"{""coordinates"": [-0.33105832383704287, 39.588523863986794], ""type"": ""Point""}";39.588523863986794, -0.33105832383704287
20;Á. GIMERÁ;1,3,5,9;17;5;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=17&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=17&lang=va;"{""coordinates"": [-0.38678046582497916, 39.469891380764906], ""type"": ""Point""}";39.469891380764906, -0.38678046582497916
22;Á. GIMERÁ;1,3,5,9;17;3;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=17&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=17&lang=va;"{""coordinates"": [-0.38410946248914607, 39.46959137449779], ""type"": ""Point""}";39.46959137449779, -0.38410946248914607
23;Á. GIMERÁ;1,3,5,9;17;2;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=17&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=17&lang=va;"{""coordinates"": [-0.3848934633087676, 39.46969138066572], ""type"": ""Point""}";39.46969138066572, -0.3848934633087676
8;ARAGÓN;5,7;24;17;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=24&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=24&lang=va;"{""coordinates"": [-0.3591059907922196, 39.472948462539804], ""type"": ""Point""}";39.472948462539804, -0.3591059907922196
1;SANT ISIDRE;1,3,7;28;94;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=28&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=28&lang=va;"{""coordinates"": [-0.4025378538438522, 39.45107503760934], ""type"": ""Point""}";39.45107503760934, -0.4025378538438522
6;AMISTAT;5,7;23;11;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=23&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=23&lang=va;"{""coordinates"": [-0.3518176379178333, 39.47074908629906], ""type"": ""Point""}";39.47074908629906, -0.3518176379178333
14;AV. DEL CID;3,5,9;18;21;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=18&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=18&lang=va;"{""coordinates"": [-0.3976203568668638, 39.46817104551758], ""type"": ""Point""}";39.46817104551758, -0.3976203568668638
17;AV. DEL CID;3,5,9;18;18;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=18&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=18&lang=va;"{""coordinates"": [-0.40003437911579415, 39.469063893575075], ""type"": ""Point""}";39.469063893575075, -0.40003437911579415
19;AYORA;5,7;22;22;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=22&lang=es;https://geoportal.valencia.es/geoportal-services/api/v1/salidas-metro.html?estacion=22&lang=va;"{""coordinates"": [-0.3433854686585752, 39.46812532076173], ""type"": ""Point""}";39.46812532076173, -0.3433854686585752
