geo_point_2d;Geo Shape;Nombre;Financiaci;Tipo;Camas;Direccion;Fecha;Barrio;codbarrio;coddistbar;coddistrit;X;Y
39.48197717740063, -0.3905986743854321;"{""coordinates"": [[-0.390598674385432, 39.48197717740063]], ""type"": ""MultiPoint""}";Fundacion Instituto Valenciano de Oncologia;Concertado;Hospital;160;Profesor Beltrán Báguena, 11,8 y 19;2021-06-30;CAMPANAR;1;041;4;724426.7;4373515.0
39.478987230480136, -0.36195399149062235;"{""coordinates"": [[-0.361953991490622, 39.478987230480136]], ""type"": ""MultiPoint""}";Hospital Clinico Universitario de Valencia;Publico;Hospital;587;Av. Blasco Ibáñez, 17;2021-06-30;CIUTAT UNIVERSITARIA;4;064;6;726900.4;4373254.9
39.51744456220257, -0.3796637402353013;"{""coordinates"": [[-0.379663740235301, 39.51744456220257]], ""type"": ""MultiPoint""}";Consultorio Local Valencia - Carpesa;Publico;Consultorio;0;Calle Apóstol San Pedro, 23;2021-06-30;CARPESA;3;173;17;725252.7;4377479.3
39.45673413203706, -0.36018577539628505;"{""coordinates"": [[-0.360185775396285, 39.45673413203706]], ""type"": ""MultiPoint""}";Centro de Salud Valencia - Fuente San Luis;Publico;Centro de Salud;0;C. de la Mare de Déu de la Fontsanta, 18;2021-06-30;NA ROVELLA;5;105;10;727124.9;4370789.2
39.46140731814206, -0.36127126434103235;"{""coordinates"": [[-0.361271264341032, 39.46140731814206]], ""type"": ""MultiPoint""}";Centro de Salud Luis Oliag;Publico;Centro de Salud;0;Carrer de Lluís Oliag, 62;2021-06-30;MONT-OLIVET;1;101;10;727016.3;4371305.2
39.47645928436022, -0.3253780324647587;"{""coordinates"": [[-0.325378032464759, 39.47645928436022]], ""type"": ""MultiPoint""}";Centro de Salud Malva-Rosa;Publico;Centro de Salud;0;C/ ISABEL DE VILLENA, Nº2 PABELLÓN C;2021-06-30;LA MALVA-ROSA;3;113;11;730055.1;4373067.1
39.47361976452811, -0.3916446051955931;"{""coordinates"": [[-0.391644605195593, 39.47361976452811]], ""type"": ""MultiPoint""}";Centro de Salud C.S.I Juan Llorens;Publico;Centro de Salud;0;C/ JUAN LLORENS, Nº 8;2021-06-30;LA PETXINA;3;033;3;724363.6;4372584.7
39.434451536919504, -0.39302782206117753;"{""coordinates"": [[-0.393027822061178, 39.434451536919504]], ""type"": ""MultiPoint""}";Consultorio Local Valencia - La Torre;Publico;Consultorio;0;Carrer Benidoleig, 9;2021-06-30;LA TORRE;7;197;19;724370.4;4368233.5
39.4717350422078, -0.35188769334820125;"{""coordinates"": [[-0.351887693348201, 39.4717350422078]], ""type"": ""MultiPoint""}";Centro de Salud Republica Argentina;Publico;Centro de Salud;0;Carrer de la República Argentina, 8;2021-06-30;L'AMISTAT;3;133;13;727790.0;4372475.3
39.469926617016014, -0.3506068262648484;"{""coordinates"": [[-0.350606826264848, 39.469926617016014]], ""type"": ""MultiPoint""}";ClInica Casa de la Salud;Privado;Hospital;192;Dr. Manuel Candela, 41;2021-06-30;ALBORS;2;122;12;727906.1;4372277.8
39.49061358869688, -0.4035337640211573;"{""coordinates"": [[-0.403533764021157, 39.49061358869688]], ""type"": ""MultiPoint""}";Hospital Arnau de Vilanova;Publico;Hospital;302;Calle San Clemente, 12;2021-06-30;SANT PAU;4;044;4;723286.4;4374441.5
