Tipus / Tipo;objectid;st_length(shape);geo_shape;geo_point_2d
1;35376;65.77402751703357;"{""coordinates"": [[-0.4064744464568374, 39.45796226117976], [-0.40647245320971687, 39.45796627158532], [-0.40647028307919314, 39.45797022579228], [-0.4064679385212824, 39.45797412025194], [-0.40646542322009593, 39.45797794964113], [-0.40646273850390224, 39.45798170948512], [-0.4064598891511424, 39.45798539628691], [-0.40645687771812467, 39.45798900379741], [-0.4064537066274973, 39.45799252936794], [-0.4064503818522801, 39.457995968627415], [-0.4064469070765764, 39.457999316252696], [-0.40644328472303043, 39.45800256959517], [-0.40643952073123557, 39.458005725183845], [-0.4064356187853221, 39.45800877769558], [-0.40643158246909, 39.458011724507706], [-0.4064274189167919, 39.45801456127497], [-0.40642313167882704, 39.458017286274846], [-0.4064187256004978, 39.458019894210075], [-0.40641420771576153, 39.4580223834359], [-0.4064095804472607, 39.45802475130368], [-0.4064048509292599, 39.4580269934682], [-0.40640002500110756, 39.458029109158886], [-0.4063951086358708, 39.45803109400454], [-0.4060130896848525, 39.45817371162427], [-0.4060121238977214, 39.45817408826], [-0.4060111757534254, 39.45817449051429], [-0.40601024525194074, 39.458174918387115], [-0.4060093347825187, 39.458175370130064], [-0.40600844547289794, 39.45817584666917], [-0.4060075785511353, 39.458176346230104], [-0.4060067328226051, 39.45817686968706], [-0.40600591187117424, 39.458177414417364], [-0.4060051156633887, 39.45817798132117], [-0.4060043453938837, 39.45817856952426], [-0.40600360229069493, 39.45817917725228], [-0.40600288632039266, 39.458179805405315], [-0.40600219874446736, 39.45818045130897], [-0.4060015395294741, 39.458181115863304], [-0.40600091103122365, 39.45818179822001], [-0.4060003133165923, 39.45818249657884], [-0.4059997475801734, 39.45818321006556], [-0.40599921382198956, 39.4581839386802], [-0.4059987132366346, 39.4581846815485], [-0.4059982447298148, 39.45818543684427], [-0.4059978117850778, 39.45818620464526], [-0.4059974121134826, 39.45818698399951], [-0.4059970481042597, 39.458187773158585], [-0.40599671979085417, 39.45818857122233], [-0.40599642717326756, 39.458189378190745], [-0.40599617035178776, 39.4581901913634], [-0.40599595042075437, 39.45819101256653], [-0.4059957663526973, 39.45819183817364], [-0.4059956204699815, 39.45819266823653], [-0.40599551048369914, 39.458193501803294], [-0.4059954387496379, 39.45819433802557], [-0.4059954041400385, 39.45819517597735], [-0.40599540672177936, 39.45819601385833], [-0.40599544652830405, 39.45819685076834], [-0.40599552472077716, 39.45819768673335], [-0.4059956390436993, 39.458198519901224], [-0.405995790658276, 39.45819935029789], [-0.40599597966479695, 39.45820017522289], [-0.40599620490206983, 39.45820099465039], [-0.40599646640352904, 39.458201807680155], [-0.4059967642026296, 39.45820261341211], [-0.4059970983662178, 39.458203410045954], [-0.40599746769968975, 39.4582041984559], [-0.4060175834744524, 39.45823498293591], [-0.40601803324889646, 39.45823570197124], [-0.40601845123672314, 39.45823643200862], [-0.40601883627674706, 39.45823717302216], [-0.4060191884358202, 39.45823792321153], [-0.40601950768053263, 39.45823868347691], [-0.4060197929499753, 39.45823945109198], [-0.40602004427759136, 39.45824022515657], [-0.40602026162994526, 39.45824100657083], [-0.4060204427849589, 39.458241792582506], [-0.4060205912261905, 39.458242583269346], [-0.4060207035369434, 39.458243376753344], [-0.40602077971721584, 39.45824417303446], [-0.4060208221228298, 39.45824497126443], [-0.40602082846481446, 39.45824577049123], [-0.40602079997125123, 39.45824656894056], [-0.4060207366755394, 39.458247365712246], [-0.4060206374165178, 39.45824816078037], [-0.40602050338879625, 39.45824895327072], [-0.40602033465923254, 39.458249741383014], [-0.4060201301000836, 39.45825052419121], [-0.40601989206713907, 39.45825130084697], [-0.4060196205604061, 39.458252071350294], [-0.4060193133243728, 39.458252833849116], [-0.4060189738425983, 39.458253588421144], [-0.4060186010207643, 39.45825433324021], [-0.40601819605347683, 39.458255067432056], [-0.4060177578130038, 39.45825579007066], [-0.40601728862169084, 39.45825650120785], [-0.4060167885129922, 39.45825719994345], [-0.40601625642599776, 39.458257883551184], [-0.40601569577741703, 39.45825855390905], [-0.406015105506363, 39.458259208290684], [-0.406014486740565, 39.45825984762219], [-0.40601383958034043, 39.45826046920313], [-0.4060098493281553, 39.45826430259851], [-0.4060060249979086, 39.4582682369926], [-0.40600237256269267, 39.45827226801432], [-0.4059988945120664, 39.45827639121483], [-0.40599559569138605, 39.458280601297005], [-0.40599247975139247, 39.45828489383784], [-0.4059895491482145, 39.4582892652887], [-0.40598783888301787, 39.45829203877961], [-0.4059862525213137, 39.458294855575794], [-0.4059847890356428, 39.45829771205078], [-0.4059834508486927, 39.458300605555976], [-0.40598224045001263, 39.45830353164255], [-0.40598115790648404, 39.458306488510225], [-0.40598020567423293, 39.45830947261023], [-0.4059793839204413, 39.45831247944197], [-0.4059786939065989, 39.45831550633086], [-0.40597813692764995, 39.458318549702305], [-0.4059777131507888, 39.45832160505558], [-0.4059774226428768, 39.45832467059047]], ""type"": ""LineString""}";39.4581240930135, -0.40618807812539043
1;35378;83.69966767159643;"{""coordinates"": [[-0.40540023349106663, 39.4552182776015], [-0.40539979338838406, 39.455222147890915], [-0.40539918183893897, 39.45522600354233], [-0.4053984001710464, 39.45522984008093], [-0.40539744848497644, 39.455233654806364], [-0.4053963293704683, 39.45523744056928], [-0.4053950417332467, 39.4552411955435], [-0.4053935892907478, 39.45524491350581], [-0.40539197337126714, 39.45524858998142], [-0.40539019407509236, 39.455252222269934], [-0.40538825511966337, 39.455255804148095], [-0.40538615892756147, 39.455259332967344], [-0.4053839080216457, 39.45526280337868], [-0.4053815036967861, 39.45526621180744], [-0.4053789507647066, 39.4552695538566], [-0.40537569652369765, 39.455273505464135], [-0.4053722769270394, 39.45527737230042], [-0.40536869791413693, 39.4552811508945], [-0.40536495965217817, 39.45528483674567], [-0.4053610692751451, 39.45528842550871], [-0.40535702920563504, 39.45529191453508], [-0.4052500388325864, 39.45537216962794], [-0.40517582573753175, 39.4556653122479], [-0.4051386220484851, 39.45580848547649], [-0.40513810219919405, 39.45581068554405], [-0.4051376818069792, 39.4558128986427], [-0.40513736097217035, 39.45581512207213], [-0.40513714095623354, 39.45581735315774], [-0.4051370218929629, 39.45581958829906], [-0.4051370038826709, 39.455821824795635], [-0.40513708699226114, 39.45582406084718], [-0.4051372701609226, 39.455826293727384], [-0.4051375546835625, 39.45582851986159], [-0.40513793946595195, 39.4558307374236], [-0.4051384246418426, 39.455832942812876], [-0.40513900915042395, 39.45583513330306], [-0.40513969073631534, 39.45583730704201], [-0.40514047185556185, 39.455839460481066], [-0.40514134793048545, 39.45584159171622], [-0.4051423213837031, 39.45584369809889], [-0.405143387670964, 39.455845776824965], [-0.4051445480537621, 39.45584782521998], [-0.405145800310111, 39.45584984053161], [-0.40514714334576546, 39.455851820933745], [-0.40514857377762714, 39.45585376364809], [-0.4051500916725724, 39.45585566687443], [-0.4051516948420947, 39.45585752696033], [-0.40515337983618926, 39.45585934292788], [-0.4051551467551945, 39.45586111207667], [-0.40515699221598134, 39.455862831628515], [-0.40515891392973274, 39.4558645006314], [-0.40516090967445234, 39.455866116333056], [-0.4051629783559015, 39.4558676769073], [-0.40516511542980943, 39.45586917955], [-0.40516598891203565, 39.455869753996964], [-0.4051668864866358, 39.45587030555875], [-0.40516780702590505, 39.45587083330936], [-0.40516875049641454, 39.45587133814891], [-0.4051697134816038, 39.45587181819931], [-0.4051706971426161, 39.45587227348656], [-0.4051716991906047, 39.455872703058624], [-0.40517271843098407, 39.45587310778972], [-0.40517375612521067, 39.45587348500536], [-0.40517480756182755, 39.45587383640212], [-0.4051758739688581, 39.45587416020564], [-0.40517695299057366, 39.45587445726425], [-0.40521648938312865, 39.45588733704084]], ""type"": ""LineString""}";39.45555252187078, -0.40522903470943833
1;35380;93.4164657589674;"{""coordinates"": [[-0.4060130896848525, 39.45817371162427], [-0.4056879058607558, 39.45829353671196], [-0.4054563758433021, 39.458377462212496], [-0.4051547602377306, 39.458486357162414], [-0.4051395559889619, 39.45849163832438], [-0.40512415894990944, 39.45849657194267], [-0.40510858318882614, 39.45850115472776], [-0.40510528134665297, 39.458502035044766], [-0.40510194432898033, 39.45850282989311], [-0.4050985745250804, 39.458503537524365], [-0.40509517661316935, 39.4585041571421], [-0.4050917540433863, 39.45850468972422], [-0.4050883092384537, 39.45850513262214], [-0.405084848004328, 39.45850548596551], [-0.4050813738580282, 39.45850574893199], [-0.40507789024970586, 39.45850592249948], [-0.4050744006963602, 39.45850600584558], [-0.40507090984279265, 39.45850599907403], [-0.40506399387811337, 39.458505811325914], [-0.4050570899402793, 39.458505456281266], [-0.40505020267409597, 39.458504934043795], [-0.40504334140256215, 39.458504243920814], [-0.40503651067014884, 39.4585033887164], [-0.4050297174774792, 39.45850236768603], [-0.4050229687248411, 39.458501182785525]], ""type"": ""LineString""}";39.458352553889995, -0.4055205411713597
1;35381;263.67938227818286;"{""coordinates"": [[-0.4094336653586397, 39.463098081289], [-0.40816860491729584, 39.461023979892154], [-0.4081661386601819, 39.461019754694114], [-0.40816385718922366, 39.461015466951466], [-0.408161762592997, 39.46101112301696], [-0.40815985706029806, 39.461006726543005], [-0.408158143874363, 39.46100228300806], [-0.40815662283468224, 39.46099779781305], [-0.4081552984191261, 39.46099327556224], [-0.40815416929937215, 39.460988720730434], [-0.40815323872523035, 39.460984139696336], [-0.4081525076908591, 39.46097953698649], [-0.40815197602915715, 39.46097491710166], [-0.40815164350624655, 39.460970286342786], [-0.4081515134053294, 39.460965650188434], [-0.4081513660414137, 39.46096066500651], [-0.40815099180288517, 39.4609556864765], [-0.4081503904224924, 39.460950721799534], [-0.408149561699864, 39.46094577637648]], ""type"": ""LineString""}";39.46202611927222, -0.40878018201565175
2;35382;146.61276446621036;"{""coordinates"": [[-0.40998959704103255, 39.46347832048406], [-0.4100132984806212, 39.46368318566545], [-0.4100448764336, 39.463909110688476], [-0.41006924875565026, 39.464152892822725], [-0.41010601747643594, 39.46446828328122], [-0.4101063094100534, 39.46447137982283], [-0.41010646281598057, 39.46447448228624], [-0.4101064778611496, 39.4644775861707], [-0.4101063557735923, 39.464480689701844], [-0.4101060955923284, 39.46448378745293], [-0.4101056974174971, 39.46448687672353], [-0.41010516257732377, 39.46448995303883], [-0.4101044911719515, 39.46449301369837], [-0.41010368449619233, 39.46449605512753], [-0.41010274158907584, 39.4644990718995], [-0.4101016659678352, 39.46450206319181], [-0.41010045902747894, 39.464505022729405], [-0.4100991196734677, 39.46450794868602], [-0.4100976515232103, 39.46451083753876], [-0.41009605590493425, 39.46451368481283], [-0.4100943340800821, 39.46451648783363], [-0.4100924896660764, 39.46451924307825], [-0.4100905227630608, 39.464521947846265], [-0.41008843698846087, 39.46452459861474], [-0.41008623479841505, 39.46452719183485], [-0.41008391864903915, 39.46452972395781], [-0.4100814909296983, 39.46453219323505], [-0.4100789552244356, 39.46453459704382], [-0.41007631405616063, 39.46453693003502], [-0.4100735697474637, 39.46453919226037], [-0.41007072711045217, 39.4645413793227], [-0.410067789695778, 39.464543489499356], [-0.41006475992620217, 39.46454552014168], [-0.41006164141916623, 39.4645474677267], [-0.4100584376919381, 39.46454933143197], [-0.4100551534898675, 39.4645511086605], [-0.41005179126909547, 39.46455279586356], [-0.4100483568361158, 39.46455439317048], [-0.4100448537749632, 39.464555897958526], [-0.41004128563631503, 39.464557308505], [-0.4100376571655248, 39.46455862221302], [-0.41003397187988044, 39.46455983826007], [-0.4100302344913409, 39.46456095494937], [-0.4100264496784865, 39.46456197148435], [-0.4100226221532807, 39.46456288616818], [-0.4100187565943153, 39.464563698204266], [-0.4100148565522604, 39.46456440586995], [-0.41001092780021614, 39.4645650101948], [-0.41000697511693496, 39.46456550768173], [-0.41000300191953104, 39.464565900208704], [-0.409999012919972, 39.46456618607891], [-0.40976315286193576, 39.46457991836474]], ""type"": ""LineString""}";39.46413957300152, -0.41002258050216844
1;35385;45.430857443973395;"{""coordinates"": [[-0.40525360120439147, 39.45475908119416], [-0.4052715718032096, 39.45479127014005], [-0.4052717837535226, 39.454791633424335], [-0.40527201216024444, 39.4547919916707], [-0.40527225592912536, 39.454792343052944], [-0.4052725150267392, 39.45479268847119], [-0.40527278835881386, 39.454793026099274], [-0.405273077053071, 39.454793356863206], [-0.40527337998179, 39.45479367983696], [-0.4052736971449925, 39.45479399502055], [-0.405274026253846, 39.45479430146194], [-0.40527436963061997, 39.454794599213024], [-0.4052747261476075, 39.45479488734772], [-0.40527509461026867, 39.45479516674021], [-0.40527547508545353, 39.45479543559029], [-0.405275867539738, 39.45479569479805], [-0.40527627084543366, 39.45479594343743], [-0.40527668387484095, 39.45479618058241], [-0.4052771077222235, 39.454796408059146], [-0.4052775413267569, 39.454796623141284], [-0.40527798346045035, 39.45479682760323], [-0.40527843535129393, 39.4547970196706], [-0.40527889464359956, 39.454797200191685], [-0.4052793613373668, 39.454797369166485], [-0.40527983549948204, 39.45479752479473], [-0.405280315935361, 39.45479766795066], [-0.40528480738008993, 39.45479888892377], [-0.40528933952549323, 39.454800015311456], [-0.40529390885472744, 39.45480104793611], [-0.4052942948899142, 39.454801135832234], [-0.40529467587934426, 39.45480123442635], [-0.40529505305101027, 39.45480134194408], [-0.4052954251769094, 39.45480146015977], [-0.4052957911293536, 39.45480158814741], [-0.4052961521029077, 39.45480172503274], [-0.4052965069030183, 39.45480187168999], [-0.40529685552966405, 39.454802028119154], [-0.4052971968886174, 39.45480219249404], [-0.40529752975185607, 39.45480236658901], [-0.4052978565085263, 39.45480254865561], [-0.405298173641783, 39.45480273951622], [-0.4052984834739092, 39.454802939222695], [-0.40529878374951805, 39.45480314592292], [-0.4052990744351618, 39.45480336051702], [-0.4052993566919667, 39.4548035830309], [-0.40529962823112886, 39.4548038125126], [-0.40529989021377427, 39.45480404898805], [-0.4053001403176294, 39.45480429240538], [-0.4053003808649679, 39.45480454281646], [-0.40530061076153984, 39.45480479839507], [-0.40530082881277085, 39.45480506001542], [-0.4053010350186609, 39.454805327677526], [-0.40530122941264585, 39.45480560048126], [-0.40542956531230157, 39.45501259986595], [-0.40542984308673485, 39.45501306822125], [-0.4054300996933212, 39.45501354331107], [-0.4054303350986243, 39.455014026035585], [-0.405430549402954, 39.45501451369436], [-0.4054307414117333, 39.455015007161606], [-0.4054309123195254, 39.45501550556311], [-0.4054310598375313, 39.45501600794691], [-0.40543118512684784, 39.45501651433891], [-0.40543128825436775, 39.45501702293882], [-0.40543136918665407, 39.455017534646785], [-0.40543142679600286, 39.455018048536765], [-0.405431462310427, 39.45501856283438], [-0.40543147453535017, 39.455019078413876], [-0.40543146353764126, 39.45501959347498], [-0.40543143044500785, 39.45502010894367], [-0.40543137419661607, 39.45502062209369], [-0.40543129475902906, 39.45502113382516], [-0.40543119332682387, 39.455021643263855], [-0.4054310687723065, 39.45502214948372], [-0.4054309222565947, 39.455022652510664], [-0.4054307538465627, 39.45502315054441], [-0.40543056234765207, 39.45502364445921], [-0.4054303501155596, 39.45502413340671], [-0.40543011605601686, 39.45502461556076], [-0.40542986013558746, 39.455025091821476], [-0.4054295835822951, 39.4550255604145], [-0.40542928755724633, 39.45502602136575], [-0.4054289697381939, 39.455026474623395], [-0.40542863251425776, 39.455026918439], [-0.40542827585202346, 39.45502735371268], [-0.40542790097947107, 39.4550277786701], [-0.40542750554092627, 39.45502819415958], [-0.40542709308662944, 39.45502859845856], [-0.4054266636166015, 39.45502899156705], [-0.4054262160031403, 39.455029372558975], [-0.405425752568513, 39.45502974148622], [-0.4053669901534347, 39.45507863692898], [-0.4053661029528355, 39.45507940179423], [-0.40536524975023314, 39.455080189940574], [-0.4053644329013601, 39.45508100051976], [-0.40536365247307043, 39.4550818317315], [-0.405362909593077, 39.455082684501825], [-0.4053622055228035, 39.45508355615624], [-0.4053615402957079, 39.45508444579466], [-0.40536091507291194, 39.455085353442946], [-0.40536033224356277, 39.45508627735271], [-0.40535978955226537, 39.455087215671796], [-0.40535928932128995, 39.45508816845208], [-0.4053588327786462, 39.455089133919174], [-0.40535841879664175, 39.45509011114702], [-0.4053580497309754, 39.455091099287365], [-0.40535772332625214, 39.45509209648805], [-0.4053574431327634, 39.455093101026556], [-0.4053572079559303, 39.45509411377713], [-0.4053570167683745, 39.45509513111327], [-0.4053568730200629, 39.45509615401291], [-0.4053567733278975, 39.455097179697816], [-0.4053567212087303, 39.45509820734564], [-0.40535671321259725, 39.4550992359785], [-0.4053567528897684, 39.455100263873874], [-0.4053568367902914, 39.45510129005385], [-0.4053569684310082, 39.45510231369603], [-0.4053571443619441, 39.45510333382256], [-0.4053573658445665, 39.455104347758876], [-0.40535763291230337, 39.45510535460493], [-0.4053579444040163, 39.45510635433473], [-0.40535830038660386, 39.45510734514799]], ""type"": ""LineString""}";39.4549327736101, -0.405358495865424
1;35386;180.04613459667507;"{""coordinates"": [[-0.38373811007523073, 39.48200911762895], [-0.38285636902346204, 39.48239996934178], [-0.3824844516409693, 39.48257426894093], [-0.38224756302094687, 39.482684696496456], [-0.3819364581344095, 39.48283312347001]], ""type"": ""LineString""}";39.48241562710973, -0.3828347660185829
1;35387;439.0548646443078;"{""coordinates"": [[-0.3886010808494145, 39.47986890202796], [-0.38850817731805576, 39.47990349715999], [-0.3885050998499554, 39.47990459283724], [-0.3885019755012498, 39.479905605480745], [-0.3884988089180879, 39.47990653519494], [-0.3884956025245787, 39.47990737933163], [-0.3884923598389987, 39.47990813706898], [-0.388489086702712, 39.47990880763744], [-0.38848578427723746, 39.47990939106307], [-0.38848245956545674, 39.47990988660235], [-0.38847911379628874, 39.47991029248117], [-0.38847575161584763, 39.47991060880393], [-0.38847237770395854, 39.479910834774934], [-0.3884689955115346, 39.47991097137256], [-0.38846560971839245, 39.47991101780121], [-0.38846222384282386, 39.47991097323897], [-0.38845884249725726, 39.479910838690415], [-0.38845546800479, 39.47991061420776], [-0.38845210620673715, 39.4799102990214], [-0.38844876052035654, 39.479909895009875], [-0.3884408310272339, 39.47990893303799], [-0.3884328649506774, 39.47990817204057], [-0.3884248714817804, 39.4799076149268], [-0.3884168587848854, 39.47990726097924], [-0.3884088361184535, 39.47990711130692], [-0.38840081048528763, 39.47990716516625], [-0.3883927923053976, 39.479907423692396], [-0.38838478858156256, 39.47990788614177], [-0.3883708780270256, 39.47990903563884], [-0.3883570200202334, 39.47991052054179], [-0.38834322863408915, 39.47991233756339], [-0.3883295166788976, 39.4799144860907], [-0.38831589703236047, 39.47991696371048], [-0.3883023837673776, 39.47991976713562], [-0.38828898972797576, 39.47992289485299], [-0.38827572666401483, 39.479926343523225], [-0.3880506506337141, 39.48002612908751], [-0.3880013483862475, 39.48005213288599], [-0.38746442838173006, 39.48029323364661], [-0.3874223189015751, 39.480309157699594], [-0.38739732560349727, 39.4803186090614], [-0.387121110184145, 39.480442772151314], [-0.38706457318915916, 39.48049876171586], [-0.38698642411532375, 39.48053468554905], [-0.38677134486981707, 39.48062169547916], [-0.38593319671439413, 39.48099849765193], [-0.38581751212130544, 39.481051611902906], [-0.3851758150353184, 39.481334858051305], [-0.38503223344281057, 39.481394202152636], [-0.38470279627993675, 39.48155104556768], [-0.38463910406494645, 39.48158629588493], [-0.38443258241830647, 39.481683650519265], [-0.38437257585915485, 39.48170762445726], [-0.3843211206925024, 39.48173147914851], [-0.3842626272195851, 39.481759124838696], [-0.3842565236788587, 39.48176232520511], [-0.38425056749083353, 39.48176568834379], [-0.3842447657935072, 39.48176920991103], [-0.384239126852739, 39.481772886489445], [-0.3842336555509225, 39.48177671188279], [-0.38422835895861235, 39.48178068354759], [-0.3842232442813423, 39.48178479533993], [-0.38421831869088746, 39.48178904201599], [-0.38421358580689563, 39.48179342005376], [-0.38420905170709047, 39.481797922383066], [-0.38420472469110173, 39.4818025446863], [-0.38420060615667045, 39.48180728068887], [-0.384196703275642, 39.48181212514691]], ""type"": ""LineString""}";39.480793808046336, -0.3863839136575814
4;35398;43.32385611877133;"{""coordinates"": [[-0.36286795063162036, 39.470355643665805], [-0.3626698278981204, 39.46999700706079]], ""type"": ""LineString""}";39.4701763253633, -0.3627688892648704
2;35403;526.5667394447427;"{""coordinates"": [[-0.3342686983961913, 39.42180467549455], [-0.33442742120801183, 39.42182597512286], [-0.33443821555619885, 39.42182727847195], [-0.3344490601699885, 39.42182829919552], [-0.3344599423522134, 39.421829035200645], [-0.33447085046330405, 39.421829487121286], [-0.3344817730008997, 39.42182965199108], [-0.3344926947752569, 39.42182953216435], [-0.3345036065364546, 39.42182912652811], [-0.3345144942895399, 39.42182843656321], [-0.3345253453030509, 39.42182746107688], [-0.34030700913144446, 39.42111523678495]], ""type"": ""LineString""}";39.42148616825086, -0.3372879787401962
