gid;Nom / Nombre;Portal;Telèfon / Telefono;Ruta;Audio;Escena;Nom Audio / Nombre Audio;geo_shape;geo_point_2d
10;PARRÒQUIA DE SANTA CECÍLIA;24;0;9;0;;;"{""coordinates"": [-0.37588805881016396, 39.454296523715115], ""type"": ""Point""}";39.454296523715115, -0.37588805881016396
11;PLAÇA DEL MERCAT;;0;3;0;;;"{""coordinates"": [-0.3786890903278158, 39.47416072416168], ""type"": ""Point""}";39.47416072416168, -0.3786890903278158
15;PORT DE VALÈNCIA;;0;8;0;;;"{""coordinates"": [-0.3307277630590073, 39.458374375186445], ""type"": ""Point""}";39.458374375186445, -0.3307277630590073
18;ANTIC SEMINARI CONCILIAR FACULTAT DE TEOLOGIA;3;0;7;0;;;"{""coordinates"": [-0.3732297817638602, 39.47701445300119], ""type"": ""Point""}";39.47701445300119, -0.3732297817638602
19;TORRE DE SANT BERTOMEU;3;0;5;0;;;"{""coordinates"": [-0.37695411756771163, 39.477007793072545], ""type"": ""Point""}";39.477007793072545, -0.37695411756771163
22;ESGLÉSIA PARROQUIAL DEL CRIST REDEMPTOR, EL CABANYAL;96;963712520;9;0;;;"{""coordinates"": [-0.32863502582981485, 39.46787869600743], ""type"": ""Point""}";39.46787869600743, -0.32863502582981485
24;ESGLÉSIA PARROQUIAL DE L'ÀNGEL CUSTODI;37;963741843;9;0;;;"{""coordinates"": [-0.36308472589036817, 39.46518887153825], ""type"": ""Point""}";39.46518887153825, -0.36308472589036817
26;ESGLÉSIA PARROQUIAL DE LA PASSIÓ DEL SENYOR;1;963791770;9;0;;;"{""coordinates"": [-0.4005879054682707, 39.46683534657883], ""type"": ""Point""}";39.46683534657883, -0.4005879054682707
30;ESGLÉSIA PARROQUIAL DE MARIA, MARE DE CRIST (PINEDO);27;963672476;9;0;;;"{""coordinates"": [-0.33824689047224293, 39.42252607834641], ""type"": ""Point""}";39.42252607834641, -0.33824689047224293
62;ESCORXADOR MUNICIPAL;42;0;8;0;;;"{""coordinates"": [-0.39461825455991256, 39.4754908640253], ""type"": ""Point""}";39.4754908640253, -0.39461825455991256
65;MONESTIR DE SANTA CLARA - CLARISSES CAPUTXINES;119;963842245;9;0;;;"{""coordinates"": [-0.39435436143329206, 39.47267115031206], ""type"": ""Point""}";39.47267115031206, -0.39435436143329206
67;CASA MUSEU CONCHA PIQUER;23;963485658;9;0;;;"{""coordinates"": [-0.3764490332381726, 39.48519993028469], ""type"": ""Point""}";39.48519993028469, -0.3764490332381726
68;MUSEU FALLER;4;963525478;9;0;;;"{""coordinates"": [-0.35918249301357175, 39.45883654674115], ""type"": ""Point""}";39.45883654674115, -0.35918249301357175
73;ARXIU DEL REGNE DE VALÈNCIA;22;963184550;9;0;;;"{""coordinates"": [-0.3626471798992365, 39.472136850591234], ""type"": ""Point""}";39.472136850591234, -0.3626471798992365
