"id";"X.id";"addr.city";"addr.city.ca";"addr.city.es";"addr.floor";"addr.housenumber";"addr.postcode";"addr.street";"addr.street.ca";"addr.street.es";"air_conditioning";"alt_name";"branch";"brand";"brand.website";"brand.wikidata";"brand.wikipedia";"building";"building.levels";"building.levels.underground";"bulk_purchase";"check_date";"check_date.diet.gluten_free";"check_date.opening_hours";"contact.instagram";"currency.EUR";"description";"diet.gluten_free";"diet.kosher";"email";"indoor";"internet_access";"internet_access.fee";"internet_access.ssid";"layer";"level";"location";"name";"name.ca";"name.en";"name.es";"note";"note.en";"old_name";"opening_hours";"operator";"operator.wikidata";"organic";"payment.cards";"payment.cash";"payment.coins";"payment.contactless";"payment.credit_cards";"payment.debit_cards";"payment.maestro";"payment.mastercard";"payment.notes";"payment.visa";"payment.visa_debit";"payment.visa_electron";"phone";"postal_code";"ref";"room";"second_hand";"shop";"source";"stroller";"toilets";"toilets.wheelchair";"website";"wheelchair";"wikimedia_commons";"longitud";"latitud"
"way/23761013";"way/23761013";NA;NA;NA;NA;"78";"46015";"Avinguda del Mestre Rodrigo";NA;NA;NA;NA;NA;"Maxi Dia";NA;"Q925132";"es:Supermercados DIA";"retail";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Maxi Dia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,405049981075488;39,4888915559854
"way/23776578";"way/23776578";"València";NA;NA;NA;"83";NA;"Camí de Montcada";NA;NA;NA;NA;NA;"Lidl";"https://www.lidl.es";"Q151954";"en:Lidl";"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Lidl";NA;NA;NA;NA;NA;NA;"Mo-Sa 09:00-21:30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"46025";NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,380313364670715;39,4931107491619
"way/118251587";"way/118251587";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Family Cash";NA;NA;NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Family Cash";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,404282165162353;39,4998286700207
"way/264281581";"way/264281581";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"es:Mercadona";"apartments";NA;NA;NA;NA;NA;2021-05-21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;"Mo-Sa 09:00-21:30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;"https://www.mercadona.es";NA;NA;-0,345697262191857;39,4711495047048
"way/404032583";"way/404032583";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"es:Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;"https://www.mercadona.es";NA;NA;-0,373954988849701;39,4528359239631
"way/405575453";"way/405575453";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ALDI";"https://www.aldi.es";"Q41171373";"en:Aldi";NA;NA;NA;NA;2025-02-18;NA;NA;NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ALDI";NA;NA;NA;NA;NA;NA;"Mo-Sa 09:00-21:30; Su 10:00-21:00";NA;NA;NA;NA;"yes";NA;NA;"yes";"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";"survey;local knowledge";"yes";NA;NA;NA;NA;NA;-0,354042538161568;39,4623639943053
"way/636630500";"way/636630500";"València";NA;NA;NA;NA;NA;"Calle Cortes de Arenoso";NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"es:Mercadona";"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,416136936968195;39,46830861961
"way/657857713";"way/657857713";NA;NA;NA;NA;NA;"46026";"Carretera de Malilla";NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"en:Mercadona";"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;"Mo-Sa 09:00-21:30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;"https://www.mercadona.es";NA;NA;-0,380075424488847;39,4495825202573
"way/673089848";"way/673089848";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";NA;"Q8350308";"es:Consum";"supermarket";"3";NA;NA;2025-11-29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";"Consum";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,359755444603572;39,4907025469721
"way/683561166";"way/683561166";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";NA;"Q8350308";"es:Consum";"retail";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";"Consum";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,394616572620975;39,4987506899763
"way/683561235";"way/683561235";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";NA;"Q8350308";"es:Consum";"retail";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Consum";"Consum";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,391008141653986;39,4953159387508
"way/760922137";"way/760922137";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"es:Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;NA;NA;NA;"yes";"yes";NA;"yes";"yes";NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;"https://www.mercadona.es";NA;NA;-0,382720429282623;39,4554953222305
"way/775222200";"way/775222200";"València";NA;NA;NA;"7";"46007";"Carrer de Bailén";NA;NA;NA;NA;NA;NA;NA;NA;NA;"retail";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Hiper Asia";NA;NA;NA;NA;NA;NA;"Mo-Su 10:00-21:00";"Hiperasia";NA;NA;"yes";"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"+34 662 388 388";NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;"https://www.hiperasia.eu/";NA;NA;-0,378655519378532;39,4646733035188
"way/777291452";"way/777291452";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ALDI";NA;"Q41171373";"en:Aldi";"yes";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ALDI";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,374684746623239;39,4539187439473
"way/895065018";"way/895065018";NA;NA;NA;NA;"14";"46007";"Plaça de Jesús";NA;NA;NA;NA;NA;"Dia";NA;"Q925132";"es:DIA (supermercados)";"retail";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Dia";"Dia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,388959103703785;39,4608444290097
"way/895938824";"way/895938824";NA;NA;NA;NA;"43";"46017";"Carrer de Pius XI";NA;NA;NA;NA;NA;"Mercadona";NA;"Q377705";"es:Mercadona";"yes";"2";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,394743557193772;39,4566044305494
"way/1113157048";"way/1113157048";NA;NA;NA;NA;NA;NA;"Carrera de la Fonteta de Sant Lluís";NA;NA;NA;NA;NA;"Mercadona";"https://www.mercadona.es";"Q377705";"es:Mercadona";"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-1";NA;NA;"Mercadona";"Mercadona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"supermarket";NA;NA;NA;NA;NA;NA;NA;-0,371063516365102;39,4544249654544
