Carrer / Calle;Tipus Carrer / Tipo Calle;Núm. Finca;OBJECTID;geo_shape;geo_point_2d
DOCTOR MARCOS SOPENA;C;25ac;68805;"{""coordinates"": [-0.3237713054962958, 39.46305277670695], ""type"": ""Point""}";39.46305277670695, -0.3237713054962958
ALAMEDA;PSO;52;68807;"{""coordinates"": [-0.3468447631747738, 39.45584505716695], ""type"": ""Point""}";39.45584505716695, -0.3468447631747738
PIROTECNIC VALENCIA;PL;S/N;68810;"{""coordinates"": [-0.3576353913172392, 39.45905891699437], ""type"": ""Point""}";39.45905891699437, -0.3576353913172392
ALEJANDRO VI;C;2ac;68813;"{""coordinates"": [-0.3648915861416972, 39.46260449697739], ""type"": ""Point""}";39.46260449697739, -0.3648915861416972
SANTO DOMINGO SAVIO;C;1;68815;"{""coordinates"": [-0.374065523738658, 39.49238279817798], ""type"": ""Point""}";39.49238279817798, -0.374065523738658
GERMANIAS;G.V.;23;68818;"{""coordinates"": [-0.37569538336309793, 39.46397370174792], ""type"": ""Point""}";39.46397370174792, -0.37569538336309793
ALAMEDA;PSO;31;68819;"{""coordinates"": [-0.36015290429005853, 39.46772562397942], ""type"": ""Point""}";39.46772562397942, -0.36015290429005853
VALLE DE LA BALLESTERA;C;46ac;68825;"{""coordinates"": [-0.40206431251164865, 39.47837769909825], ""type"": ""Point""}";39.47837769909825, -0.40206431251164865
PROFESOR BELTRAN BAGUENA;C;6;68827;"{""coordinates"": [-0.3897395092897773, 39.48130248090292], ""type"": ""Point""}";39.48130248090292, -0.3897395092897773
VALLE DE LA BALLESTERA;C;59;68831;"{""coordinates"": [-0.4015868440142684, 39.478359014874385], ""type"": ""Point""}";39.478359014874385, -0.4015868440142684
MARQUES DEL TURIA;G.V.;16;68833;"{""coordinates"": [-0.3714625897237646, 39.465678657960616], ""type"": ""Point""}";39.465678657960616, -0.3714625897237646
PORTA DE LA MAR;PL;3;68835;"{""coordinates"": [-0.36834692724479184, 39.47176592288996], ""type"": ""Point""}";39.47176592288996, -0.36834692724479184
