Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d;update_jcd
Jerónimo Monsoriu - Industria;73;T;19;0;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3428792786496773, 39.4662592905475], ""type"": ""Point""}";39.4662592905475, -0.3428792786496773;2026-02-25T21:28:33+01:00
Gaspar Aguilar - Vicente Parra;86;T;4;16;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.39119345191575566, 39.4552402764855], ""type"": ""Point""}";39.4552402764855, -0.39119345191575566;2026-02-25T21:18:34+01:00
Av. Puerto - Plaza Tribunal de les Aigües;71;T;6;12;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.33353125122308164, 39.46038026686525], ""type"": ""Point""}";39.46038026686525, -0.33353125122308164;2026-02-25T21:24:15+01:00
Av. Puerto - Doctor Manuel Candela;65;T;19;0;19;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3508373061951808, 39.465516292011046], ""type"": ""Point""}";39.465516292011046, -0.3508373061951808;2026-02-25T21:20:30+01:00
Blasco Ibañez - Poeta Durán Tortajada;93;T;38;0;38;F;25/02/2026 20:29:29;"{""coordinates"": [-0.34380927742382206, 39.472282310670764], ""type"": ""Point""}";39.472282310670764, -0.34380927742382206;2026-02-25T21:23:45+01:00
Plaza San Felipe Neri (Mercado Algirós);74;T;15;4;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3537343124957471, 39.469949307546806], ""type"": ""Point""}";39.469949307546806, -0.3537343124957471;2026-02-25T21:26:23+01:00
Guillem de Castro (Torres de Quart);82;T;3;11;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3839144104057024, 39.47605634238628], ""type"": ""Point""}";39.47605634238628, -0.3839144104057024;2026-02-25T21:27:16+01:00
Alberique, 18 (Abastos);25;T;3;20;23;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38861043334080225, 39.46772931656263], ""type"": ""Point""}";39.46772931656263, -0.38861043334080225;2026-02-25T21:26:27+01:00
Aragón - Ernesto Ferrer;79;T;4;16;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.357242322435451, 39.4727793187067], ""type"": ""Point""}";39.4727793187067, -0.357242322435451;2026-02-25T21:27:39+01:00
Plaza América - Cirilo Amorós - Sorní;29;T;1;19;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3652993525279599, 39.47011231364647], ""type"": ""Point""}";39.47011231364647, -0.3652993525279599;2026-02-25T21:26:18+01:00
Germanías - Ruzafa;33;T;0;16;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.37399038562310283, 39.46481830023885], ""type"": ""Point""}";39.46481830023885, -0.37399038562310283;2026-02-25T21:28:03+01:00
Blasco Ibañez, 23 (F. Filosofía y Psicología);89;T;1;28;30;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3593183259089267, 39.47780233689744], ""type"": ""Point""}";39.47780233689744, -0.3593183259089267;2026-02-25T21:23:40+01:00
Grabador Jordan - Escultor Pastor;91;T;13;2;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36757337969703135, 39.44412522887422], ""type"": ""Point""}";39.44412522887422, -0.36757337969703135;2026-02-25T21:26:38+01:00
C/GUILLEM DE CASTRO esquina con C/NA JORDANA;1;T;3;20;25;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38292927973315827, 39.48004223020643], ""type"": ""Point""}";39.48004223020643, -0.38292927973315827;2026-02-25T21:23:29+01:00
Plaza Poeta Llorente;5;T;3;12;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3711403661399108, 39.476895339123786], ""type"": ""Point""}";39.476895339123786, -0.3711403661399108;2026-02-25T21:28:25+01:00
Plaza de la Reina - Mar;8;T;0;9;9;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3752982847143531, 39.473881223660634], ""type"": ""Point""}";39.473881223660634, -0.3752982847143531;2026-02-25T21:26:59+01:00
Huesca - Barón de Cárcer;14;T;1;18;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.37972440222295445, 39.46896731649349], ""type"": ""Point""}";39.46896731649349, -0.37972440222295445;2026-02-25T21:28:18+01:00
Plaza del Mercado - Taula de Canvis;7;T;5;14;19;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3791853952972924, 39.47487233593648], ""type"": ""Point""}";39.47487233593648, -0.3791853952972924;2026-02-25T21:25:48+01:00
Regne de Valencia - Almirante Cadarso;35;T;4;5;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36699436340059455, 39.46374929341137], ""type"": ""Point""}";39.46374929341137, -0.36699436340059455;2026-02-25T21:22:13+01:00
Escultor José Capuz - Oriente;43;T;13;7;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36115334583643566, 39.459477276259406], ""type"": ""Point""}";39.459477276259406, -0.36115334583643566;2026-02-25T21:18:41+01:00
Colón, 60;16;T;6;14;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3704333693720587, 39.470092316192336], ""type"": ""Point""}";39.470092316192336, -0.3704333693720587;2026-02-25T21:27:27+01:00
Colón 20-22;18;T;12;12;24;F;25/02/2026 20:29:29;"{""coordinates"": [-0.37312937987373457, 39.468191311513856], ""type"": ""Point""}";39.468191311513856, -0.37312937987373457;2026-02-25T21:28:17+01:00
Angel Guimerá - Juan Llorens;22;T;2;13;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3883534313205414, 39.46978732404922], ""type"": ""Point""}";39.46978732404922, -0.3883534313205414;2026-02-25T21:25:04+01:00
Plaza de los Fueros - Conde Trenor;36;T;12;13;25;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3754363798581042, 39.479072348860946], ""type"": ""Point""}";39.479072348860946, -0.3754363798581042;2026-02-25T21:28:33+01:00
Peris y Valero - Cabo Jubi;38;T;10;5;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.37024937736936264, 39.45940204927687], ""type"": ""Point""}";39.45940204927687, -0.37024937736936264;2026-02-25T21:28:03+01:00
Antonio Ferrandis - General Urrutia;48;T;9;11;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.35855273823228967, 39.450807354184086], ""type"": ""Point""}";39.450807354184086, -0.35855273823228967;2026-02-25T21:27:38+01:00
Ricardo Muñoz Suay - María José Victoria Fuster (C.C. El Saler);49;T;0;25;25;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3571104198826364, 39.45298693239739], ""type"": ""Point""}";39.45298693239739, -0.3571104198826364;2026-02-25T21:23:50+01:00
Moreras (Oceanográfico);51;T;4;16;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3472273049060467, 39.45218324552497], ""type"": ""Point""}";39.45218324552497, -0.3472273049060467;2026-02-25T21:25:00+01:00
Baleares - Río Escalona;59;T;12;2;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3545493213542055, 39.463088285667624], ""type"": ""Point""}";39.463088285667624, -0.3545493213542055;2026-02-25T21:28:21+01:00
Vicent Vidal - Pintor Maella;61;T;16;2;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.34783029886743094, 39.46129327599964], ""type"": ""Point""}";39.46129327599964, -0.34783029886743094;2026-02-25T21:27:36+01:00
Av Puerto 19 (Telefónica);63;T;13;7;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.358414330727018, 39.46777930285978], ""type"": ""Point""}";39.46777930285978, -0.358414330727018;2026-02-25T21:28:33+01:00
Menorca - Baleares;62;T;19;1;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3421522812931475, 39.45981126842254], ""type"": ""Point""}";39.45981126842254, -0.3421522812931475;2026-02-25T21:21:33+01:00
Av. Puerto - José Aguilar;68;T;20;0;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3417332778594022, 39.46280327868023], ""type"": ""Point""}";39.46280327868023, -0.3417332778594022;2026-02-25T21:22:59+01:00
Blasco Ibañez - Mestre Ripoll;100;T;19;0;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.33815025853445674, 39.471634305646866], ""type"": ""Point""}";39.471634305646866, -0.33815025853445674;2026-02-25T21:19:09+01:00
Naranjos (Magisterio);95;T;0;33;33;F;25/02/2026 20:29:29;"{""coordinates"": [-0.34611927939668474, 39.47983533734356], ""type"": ""Point""}";39.47983533734356, -0.34611927939668474;2026-02-25T21:19:39+01:00
